Dataset,Familia,Combinacion,MAE,RMSE,DTW,SNR
mne_sample,GSP Instantáneo,mne_sample | aew | sobolev,0.4847252276038417,0.6388541405656764,4.4831679554476525,3.9094895758618513
mne_sample,GSP Instantáneo,mne_sample | aew | temporal_laplacian,0.1045969572310678,0.1573230115332809,1.1053686588238365,17.202910668078218
mne_sample,GSP Instantáneo,mne_sample | aew | tikhonov,0.0311293021767374,0.0965640566869064,0.6894427439928846,22.019026399208705
mne_sample,GSP Instantáneo,mne_sample | aew | tv,0.0318080743353187,0.0979383551499881,0.6945945758711449,21.748576212432365
mne_sample,GSP Instantáneo,mne_sample | aew | visibility_nnk,0.168292772848759,0.4609308567848751,3.090913495325319,6.811791498461143
mne_sample,GSP Instantáneo,mne_sample | epsilon_ball | bgsrp,0.1856505808306178,0.245229854825195,1.7085595178678243,12.88237894149917
mne_sample,GSP Instantáneo,mne_sample | epsilon_ball | ica,0.1661979296740938,0.458224542577636,3.0655767764521014,6.889696748077353
mne_sample,GSP Instantáneo,mne_sample | epsilon_ball | idw,0.0331123336434961,0.1005087035059997,0.7245299197485536,21.408535431416187
mne_sample,GSP Instantáneo,mne_sample | epsilon_ball | linear,0.0433652273618941,0.1286022010109334,0.8437458810297108,19.32046742976325
mne_sample,GSP Instantáneo,mne_sample | epsilon_ball | rbfi_tps,0.0327348193430334,0.1048230275856485,0.688322001360449,22.44632236793929
mne_sample,GSP Instantáneo,mne_sample | epsilon_ball | sobolev,0.4811569252273446,0.6015646023327925,4.847919171067848,4.418410348763766
mne_sample,GSP Instantáneo,mne_sample | epsilon_ball | temporal_laplacian,0.7549432266566127,0.9404128169857316,7.954726855094027,0.5339750782719624
mne_sample,GSP Instantáneo,mne_sample | epsilon_ball | tikhonov,0.1571287897666305,0.2099134031464815,1.5325944915167613,14.136016007512644
mne_sample,GSP Instantáneo,mne_sample | epsilon_ball | tv,0.0438328476346025,0.1277032485991645,0.9112499007155204,18.639879156590663
mne_sample,GSP Instantáneo,mne_sample | epsilon_ball | visibility_nnk,0.168292772848759,0.4609308567848751,3.090913495325319,6.811791498461143
mne_sample,GSP Instantáneo,mne_sample | knn__k3 | bgsrp,0.1263929441665264,0.1748346776125529,1.241192548309632,16.602725096714263
mne_sample,GSP Instantáneo,mne_sample | knn__k3 | ica,0.1661979296740938,0.458224542577636,3.0655767764521014,6.889696748077353
mne_sample,GSP Instantáneo,mne_sample | knn__k3 | idw,0.0331123336434961,0.1005087035059997,0.7245299197485536,21.408535431416187
mne_sample,GSP Instantáneo,mne_sample | knn__k3 | linear,0.0433652273618941,0.1286022010109334,0.8437458810297108,19.32046742976325
mne_sample,GSP Instantáneo,mne_sample | knn__k3 | rbfi_tps,0.0327348193430334,0.1048230275856485,0.688322001360449,22.44632236793929
mne_sample,GSP Instantáneo,mne_sample | knn__k3 | sobolev,0.471032180332154,0.5902756525931271,4.750085586235168,4.582074969252184
mne_sample,GSP Instantáneo,mne_sample | knn__k3 | temporal_laplacian,0.4776547827166047,0.6026875643842078,4.191921002655184,4.406511714756984
mne_sample,GSP Instantáneo,mne_sample | knn__k3 | tikhonov,0.0601159927228547,0.1063853698596728,0.7804819421508989,21.03739864975745
mne_sample,GSP Instantáneo,mne_sample | knn__k3 | tv,0.0393693201608435,0.1154288827530001,0.8390094185855489,19.63085971427749
mne_sample,GSP Instantáneo,mne_sample | knn__k3 | visibility_nnk,0.168292772848759,0.4609308567848751,3.090913495325319,6.811791498461143
mne_sample,GSP Instantáneo,mne_sample | knn__k5 | bgsrp,0.1248692420505603,0.1712528511620482,1.2404673097379015,16.67144933938344
mne_sample,GSP Instantáneo,mne_sample | knn__k5 | ica,0.1661979296740938,0.458224542577636,3.0655767764521014,6.889696748077353
mne_sample,GSP Instantáneo,mne_sample | knn__k5 | idw,0.0331123336434961,0.1005087035059997,0.7245299197485536,21.408535431416187
mne_sample,GSP Instantáneo,mne_sample | knn__k5 | linear,0.0433652273618941,0.1286022010109334,0.8437458810297108,19.32046742976325
mne_sample,GSP Instantáneo,mne_sample | knn__k5 | rbfi_tps,0.0327348193430334,0.1048230275856485,0.688322001360449,22.44632236793929
mne_sample,GSP Instantáneo,mne_sample | knn__k5 | sobolev,0.4758652467819022,0.5952798750457988,4.817025801736713,4.508766981574886
mne_sample,GSP Instantáneo,mne_sample | knn__k5 | temporal_laplacian,0.5634588452975838,0.7034912895903517,5.305728133114525,3.058519136298108
mne_sample,GSP Instantáneo,mne_sample | knn__k5 | tikhonov,0.0776640230623529,0.1196217355495784,0.8978287889271769,19.47565663810887
mne_sample,GSP Instantáneo,mne_sample | knn__k5 | tv,0.0419016681971889,0.1222467760094287,0.8791411707562297,19.05356817918357
mne_sample,GSP Instantáneo,mne_sample | knn__k5 | visibility_nnk,0.168292772848759,0.4609308567848751,3.090913495325319,6.811791498461143
mne_sample,GSP Instantáneo,mne_sample | knn__k7 | bgsrp,0.133347481325152,0.1794499035886239,1.308876773401619,15.929842850126784
mne_sample,GSP Instantáneo,mne_sample | knn__k7 | ica,0.1661979296740938,0.458224542577636,3.0655767764521014,6.889696748077353
mne_sample,GSP Instantáneo,mne_sample | knn__k7 | idw,0.0331123336434961,0.1005087035059997,0.7245299197485536,21.408535431416187
mne_sample,GSP Instantáneo,mne_sample | knn__k7 | linear,0.0433652273618941,0.1286022010109334,0.8437458810297108,19.32046742976325
mne_sample,GSP Instantáneo,mne_sample | knn__k7 | rbfi_tps,0.0327348193430334,0.1048230275856485,0.688322001360449,22.44632236793929
mne_sample,GSP Instantáneo,mne_sample | knn__k7 | sobolev,0.4783669670368933,0.5981465593961187,4.839137807104868,4.467250915336199
mne_sample,GSP Instantáneo,mne_sample | knn__k7 | temporal_laplacian,0.5927087845041809,0.7396285976363801,5.861982996389782,2.6222617942540296
mne_sample,GSP Instantáneo,mne_sample | knn__k7 | tikhonov,0.0924857046156282,0.1339666863426529,1.024306652513041,18.197973530545443
mne_sample,GSP Instantáneo,mne_sample | knn__k7 | tv,0.0428043875492996,0.1248246340713507,0.8947993388425646,18.850754656214907
mne_sample,GSP Instantáneo,mne_sample | knn__k7 | visibility_nnk,0.168292772848759,0.4609308567848751,3.090913495325319,6.811791498461143
mne_sample,GSP Instantáneo,mne_sample | knn__k9 | bgsrp,0.1433997239199962,0.18947087032058,1.3782304288118723,15.096834786677505
mne_sample,GSP Instantáneo,mne_sample | knn__k9 | ica,0.1661979296740938,0.458224542577636,3.0655767764521014,6.889696748077353
mne_sample,GSP Instantáneo,mne_sample | knn__k9 | idw,0.0331123336434961,0.1005087035059997,0.7245299197485536,21.408535431416187
