method,missing_mode,missing_value,metric,n,win_rate,median_improvement,mne_median,trss_median
trss_cv_tuned_seed0,random,0.1,runtime_s,15,0.13333333333333333,-7.299970326213004,0.0096389070004079,0.0766616959990642
trss_cv_tuned_seed0,random,0.3,mae,15,0.7333333333333333,0.052603424460831695,9.98486863866202e-06,9.065773004336356e-06
trss_cv_tuned_seed0,random,0.3,nrmse,15,0.7333333333333333,0.10969889366267283,0.6811273350956296,0.5867908976724459
trss_cv_tuned_seed0,random,0.3,lsd,15,0.06666666666666667,-0.15971105588652565,0.5696313232868305,0.5905783726745186
trss_cv_tuned_seed0,random,0.3,runtime_s,15,0.0,-8.02359850733943,0.0088551850003568,0.0769772799994825
trss_cv_tuned_seed0,random,0.4,mae,15,0.8,0.12952463733688077,1.1184082706479066e-05,9.620114045759184e-06
trss_cv_tuned_seed0,random,0.4,nrmse,15,0.8,0.1512675991887745,0.713443819448255,0.617821488278916
trss_cv_tuned_seed0,random,0.4,lsd,15,0.3333333333333333,-0.05566502562339448,0.5587384848281121,0.5413791935214906
trss_cv_tuned_seed0,random,0.4,runtime_s,15,0.0,-10.027131357503224,0.0083475200008251,0.1067945109989523
trss_cv_tuned_seed0,random,1.0,mae,15,0.6,0.017461373068755403,7.1426032661807575e-06,6.3411898567844025e-06
trss_cv_tuned_seed0,random,1.0,nrmse,15,0.6,0.02708836097799621,0.5755153769025986,0.5947864953281811
trss_cv_tuned_seed0,random,1.0,lsd,15,0.13333333333333333,-0.1582893632217196,0.4258205144358072,0.500511988798285
trss_cv_tuned_seed0,random,1.0,runtime_s,15,0.06666666666666667,-8.3273282942195,0.0085596389999409,0.100816209000186
trss_cv_tuned_seed0,random,2.0,mae,15,0.6,0.10109973721814741,7.154922594631969e-06,5.797863207567044e-06
trss_cv_tuned_seed0,random,2.0,nrmse,15,0.6666666666666666,0.056904602764675745,0.4758834867639626,0.4234471419179398
trss_cv_tuned_seed0,random,2.0,lsd,15,0.06666666666666667,-0.17833056468227376,0.5267845695342982,0.6887096917402937
trss_cv_tuned_seed0,random,2.0,runtime_s,15,0.0,-7.022753988867912,0.0106884970009559,0.091202740000881
trss_oracle_grid,edge,0.1,mae,15,0.7333333333333333,0.24382120576806843,1.734584541016086e-05,1.1265943059160778e-05
trss_oracle_grid,edge,0.1,nrmse,15,0.7333333333333333,0.27964928719526494,1.036760457301825,0.7468311344251327
trss_oracle_grid,edge,0.1,lsd,15,0.06666666666666667,-0.04280273939176646,0.8197320135467816,0.8548187892937125
trss_oracle_grid,edge,0.1,runtime_s,15,0.0,-7.783798786782688,0.0082883979994221,0.0762419599996064
trss_oracle_grid,edge,0.3,mae,15,0.5333333333333333,0.19305912708537326,1.4246258136968448e-05,1.4356480978134522e-05
trss_oracle_grid,edge,0.3,nrmse,15,0.5333333333333333,0.14675986852935147,0.7049557202872767,0.6842653541084825
trss_oracle_grid,edge,0.3,lsd,15,0.3333333333333333,-0.06406859519338681,0.821252636775892,0.9276871948073628
trss_oracle_grid,edge,0.3,runtime_s,15,0.0,-9.53768712305829,0.0090253420003136,0.106063887998971
trss_oracle_grid,edge,0.4,mae,15,0.8,0.3175125500792529,2.106256112233391e-05,1.3230418269224022e-05
trss_oracle_grid,edge,0.4,nrmse,15,0.8,0.35790194388249486,1.2754720399585575,0.7869918006484764
trss_oracle_grid,edge,0.4,lsd,15,0.8,0.12483670818404181,0.8899802005725412,0.8053989052907139
trss_oracle_grid,edge,0.4,runtime_s,15,0.0,-9.589813266581297,0.0088325879987678,0.0806220439990283
trss_oracle_grid,edge,1.0,mae,15,0.7333333333333333,0.1982968582492671,6.923492009251502e-06,7.88929974762414e-06
trss_oracle_grid,edge,1.0,nrmse,15,0.7333333333333333,0.2341126202459113,0.9587393785902318,0.757393252202697
trss_oracle_grid,edge,1.0,lsd,15,0.4666666666666667,-0.060345577179655885,0.920851173467974,0.956922967276859
trss_oracle_grid,edge,1.0,runtime_s,15,0.06666666666666667,-5.450602847543906,0.009965857001589,0.0719803420015523
trss_oracle_grid,edge,2.0,mae,15,0.7333333333333333,0.19252205732613872,1.1330450438219826e-05,5.821655465013682e-06
trss_oracle_grid,edge,2.0,nrmse,15,0.7333333333333333,0.2309608109856532,0.9487292956787338,0.418462220598549
trss_oracle_grid,edge,2.0,lsd,15,0.26666666666666666,-0.13569147236291237,0.7872607153021576,0.8063177488149635
trss_oracle_grid,edge,2.0,runtime_s,15,0.0,-4.727870072658172,0.0100823310003761,0.0749442590004036
trss_oracle_grid,high_variance,0.1,mae,15,0.8,0.17571064396656125,1.2038607886818096e-05,9.632690193079405e-06
trss_oracle_grid,high_variance,0.1,nrmse,15,0.8,0.0951311243673613,0.5378880386437105,0.5131452507683923
trss_oracle_grid,high_variance,0.1,lsd,15,0.26666666666666666,-0.11637758867182277,0.6517385241893529,0.6707222445289763
trss_oracle_grid,high_variance,0.1,runtime_s,15,0.06666666666666667,-6.735520051652192,0.0101884240011713,0.0728800090000731
trss_oracle_grid,high_variance,0.3,mae,15,0.8,0.12859798546864834,1.0281981879905864e-05,9.784815041406309e-06
trss_oracle_grid,high_variance,0.3,nrmse,15,0.7333333333333333,0.11610337496448003,0.6879266856354241,0.582684014887359
trss_oracle_grid,high_variance,0.3,lsd,15,0.06666666666666667,-0.10569342117626994,0.5567539683059607,0.568204749247919
trss_oracle_grid,high_variance,0.3,runtime_s,15,0.0,-7.579691997679571,0.009406488001332,0.0742706259989063
trss_oracle_grid,high_variance,0.4,mae,15,0.8,0.10060219701015069,1.12256628572505e-05,1.048440583196532e-05
trss_oracle_grid,high_variance,0.4,nrmse,15,0.8,0.1273161013925481,0.6596043153359669,0.6276212962258574
trss_oracle_grid,high_variance,0.4,lsd,15,0.13333333333333333,-0.09356858886501664,0.5360537511292178,0.5755650022776096
trss_oracle_grid,high_variance,0.4,runtime_s,15,0.0,-10.564076346820464,0.0090568079995136,0.1182933659983973
trss_oracle_grid,high_variance,1.0,mae,15,0.6666666666666666,0.0974845229719305,1.2522222765864093e-05,1.2230333735161027e-05
trss_oracle_grid,high_variance,1.0,nrmse,15,0.5333333333333333,0.057994736765180535,0.397967293829952,0.4698776392145844
trss_oracle_grid,high_variance,1.0,lsd,15,0.2,-0.14517614642055368,0.920851173467974,1.0604342040661343
trss_oracle_grid,high_variance,1.0,runtime_s,15,0.0,-7.869835019284542,0.0083699419992626,0.0811871109999629
trss_oracle_grid,high_variance,2.0,mae,15,0.6,0.10834602153472846,1.246720211346268e-05,7.074568578748506e-06
trss_oracle_grid,high_variance,2.0,nrmse,15,0.6,0.06346674008593278,0.6476758428060411,0.6472265880656943
trss_oracle_grid,high_variance,2.0,lsd,15,0.13333333333333333,-0.15489286609130457,0.647456491103731,0.699863547613417
trss_oracle_grid,high_variance,2.0,runtime_s,15,0.0,-4.5746032949663995,0.0123810749992117,0.0680415059996448
