dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file
synthetic_alpha,wavelet_temporal,knn__k5,0.2,0.1501528189227595,0.3336379829426222,,16.734862699614162,synthetic_alpha__0.2_130,it05_all_datasets_raw.csv
synthetic_alpha,directed_tv,knn__k5,0.2,0.1557796667114349,0.3858580394184339,,-1.2984780732095682,synthetic_alpha__0.2_131,it05_all_datasets_raw.csv
synthetic_alpha,linear,knn__k5,0.3,0.2572064301478571,0.5368773174858041,,-2.4191202943732533,synthetic_alpha__0.3_132,it05_all_datasets_raw.csv
synthetic_alpha,nearest,knn__k5,0.3,0.2885465132091039,0.6165820969922422,,-3.6998971834787695,synthetic_alpha__0.3_133,it05_all_datasets_raw.csv
synthetic_alpha,mean,knn__k5,0.3,0.2125037819008306,0.4355594603472861,,-0.5475475552035312,synthetic_alpha__0.3_134,it05_all_datasets_raw.csv
synthetic_alpha,idw,knn__k5,0.3,0.2193035472107985,0.4472709119235417,,-0.8376391123001864,synthetic_alpha__0.3_135,it05_all_datasets_raw.csv
synthetic_alpha,spherical_spline,knn__k5,0.3,0.3392384056544167,0.7606027960808052,,-4.927944414651416,synthetic_alpha__0.3_136,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_tps,knn__k5,0.3,0.2752352041464,0.5908578542954833,,-3.138416806443352,synthetic_alpha__0.3_137,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_mq,knn__k5,0.3,0.28449673069033,0.6267924824521991,,-3.483217109346568,synthetic_alpha__0.3_138,it05_all_datasets_raw.csv
synthetic_alpha,spline_surface,knn__k5,0.3,0.3288038895279771,0.7116487828618274,,-4.127967744547699,synthetic_alpha__0.3_139,it05_all_datasets_raw.csv
synthetic_alpha,gsp,knn__k5,0.3,0.2258315306340623,0.464445818496877,,-1.232670448910718,synthetic_alpha__0.3_140,it05_all_datasets_raw.csv
synthetic_alpha,tikhonov,knn__k5,0.3,0.3048718124462302,0.4726182519114059,,9.393235097916616,synthetic_alpha__0.3_141,it05_all_datasets_raw.csv
synthetic_alpha,bgsrp,knn__k5,0.3,0.5345281414626089,0.6573964398436165,,1.519679177905897,synthetic_alpha__0.3_142,it05_all_datasets_raw.csv
synthetic_alpha,gsmooth,knn__k5,0.3,0.2149587015620551,0.4400172052453694,,-0.6753450455514719,synthetic_alpha__0.3_143,it05_all_datasets_raw.csv
synthetic_alpha,puy,knn__k5,0.3,0.4915372465258383,0.5954194451167295,,2.3066873729065684,synthetic_alpha__0.3_144,it05_all_datasets_raw.csv
synthetic_alpha,sobolev,knn__k5,0.3,0.581290691084312,0.6586913617888067,,0.7336882466835312,synthetic_alpha__0.3_145,it05_all_datasets_raw.csv
synthetic_alpha,graph_time_tikhonov,knn__k5,0.3,0.4516238988900301,0.5528803722960328,,3.27711023493456,synthetic_alpha__0.3_146,it05_all_datasets_raw.csv
synthetic_alpha,trss,knn__k5,0.3,0.2258315303440852,0.464445817782538,,-1.2326704377010154,synthetic_alpha__0.3_147,it05_all_datasets_raw.csv
synthetic_alpha,tv,knn__k5,0.3,0.2131381235270164,0.4370749681448451,,-0.5736258517490802,synthetic_alpha__0.3_148,it05_all_datasets_raw.csv
synthetic_alpha,temporal_laplacian,knn__k5,0.3,0.4867222895383444,0.5574258031609405,,2.4501369432018856,synthetic_alpha__0.3_149,it05_all_datasets_raw.csv
synthetic_alpha,heat_diffusion_temporal,knn__k5,0.3,0.2091375515491966,0.4204228966525546,,-0.4579870063346005,synthetic_alpha__0.3_150,it05_all_datasets_raw.csv
synthetic_alpha,wavelet_temporal,knn__k5,0.3,0.2093557248065106,0.3980745738634485,,15.918329723437514,synthetic_alpha__0.3_152,it05_all_datasets_raw.csv
synthetic_alpha,directed_tv,knn__k5,0.3,0.2028538791238083,0.4077366617992163,,-0.1473271975540467,synthetic_alpha__0.3_153,it05_all_datasets_raw.csv
synthetic_alpha,linear,knn__k5,0.4,0.3298767998545232,0.6065903668026632,,-2.290266788000535,synthetic_alpha__0.4_154,it05_all_datasets_raw.csv
synthetic_alpha,nearest,knn__k5,0.4,0.3315668339659925,0.6286301530250877,,-2.427773593777242,synthetic_alpha__0.4_155,it05_all_datasets_raw.csv
synthetic_alpha,mean,knn__k5,0.4,0.2610509096263227,0.4587113167545196,,0.1506455701467817,synthetic_alpha__0.4_156,it05_all_datasets_raw.csv
synthetic_alpha,idw,knn__k5,0.4,0.2752672503876464,0.4863914779261031,,-0.3911157865214539,synthetic_alpha__0.4_157,it05_all_datasets_raw.csv
synthetic_alpha,spherical_spline,knn__k5,0.4,0.4750781212681642,0.931806016032614,,-5.235491412145549,synthetic_alpha__0.4_158,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_tps,knn__k5,0.4,0.3818542909667008,0.7252726262620611,,-3.68571940032052,synthetic_alpha__0.4_159,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_mq,knn__k5,0.4,0.3898963338453581,0.7399231383843519,,-3.839789259596472,synthetic_alpha__0.4_160,it05_all_datasets_raw.csv
synthetic_alpha,spline_surface,knn__k5,0.4,0.4659992072144946,0.8721669325779527,,-5.0571724105034335,synthetic_alpha__0.4_161,it05_all_datasets_raw.csv
synthetic_alpha,gsp,knn__k5,0.4,0.2899235028675175,0.5244763217970605,,-1.012343243602755,synthetic_alpha__0.4_162,it05_all_datasets_raw.csv
synthetic_alpha,tikhonov,knn__k5,0.4,0.3520204931082326,0.5219994788005702,,8.186941688303662,synthetic_alpha__0.4_163,it05_all_datasets_raw.csv
synthetic_alpha,bgsrp,knn__k5,0.4,0.5418415841673531,0.6823216084474552,,1.8218751794669656,synthetic_alpha__0.4_164,it05_all_datasets_raw.csv
synthetic_alpha,gsmooth,knn__k5,0.4,0.2670270697808505,0.4707480175244918,,-0.0922212904817583,synthetic_alpha__0.4_165,it05_all_datasets_raw.csv
synthetic_alpha,puy,knn__k5,0.4,0.5077600012793614,0.6155741744551646,,2.162440674801534,synthetic_alpha__0.4_166,it05_all_datasets_raw.csv
synthetic_alpha,sobolev,knn__k5,0.4,0.5943956981803913,0.6681949138261912,,0.5565392414019064,synthetic_alpha__0.4_167,it05_all_datasets_raw.csv
synthetic_alpha,graph_time_tikhonov,knn__k5,0.4,0.4750837648569362,0.5719721075251092,,2.856582785054712,synthetic_alpha__0.4_168,it05_all_datasets_raw.csv
synthetic_alpha,trss,knn__k5,0.4,0.2878744441821272,0.5177942844555494,,-0.9118861096184896,synthetic_alpha__0.4_169,it05_all_datasets_raw.csv
synthetic_alpha,tv,knn__k5,0.4,0.2616216626341461,0.4611345113695576,,0.12569415269825,synthetic_alpha__0.4_170,it05_all_datasets_raw.csv
synthetic_alpha,temporal_laplacian,knn__k5,0.4,0.5088766362376677,0.5848105361054328,,2.088349121889599,synthetic_alpha__0.4_171,it05_all_datasets_raw.csv
synthetic_alpha,heat_diffusion_temporal,knn__k5,0.4,0.2745975234537989,0.4779372978965367,,-0.2837260894488891,synthetic_alpha__0.4_172,it05_all_datasets_raw.csv
