dataset,graph,method,missing_ratio,n,mean,median,std
bci_competition_iv_2a_proxy,kalofolias,nearest,0.3,1,6.772243543165846e-07,6.772243543165846e-07,
bci_competition_iv_2a_proxy,kalofolias,nearest,0.4,1,8.03241673630338e-07,8.03241673630338e-07,
bci_competition_iv_2a_proxy,kalofolias,puy,0.1,1,4.6944280693058773e-07,4.6944280693058773e-07,
bci_competition_iv_2a_proxy,kalofolias,puy,0.2,1,6.48301468150684e-07,6.48301468150684e-07,
bci_competition_iv_2a_proxy,kalofolias,puy,0.3,1,6.815752075437259e-07,6.815752075437259e-07,
bci_competition_iv_2a_proxy,kalofolias,puy,0.4,1,6.913914809435304e-07,6.913914809435304e-07,
bci_competition_iv_2a_proxy,kalofolias,rbfi_mq,0.1,1,4.804296466284725e-07,4.804296466284725e-07,
bci_competition_iv_2a_proxy,kalofolias,rbfi_mq,0.2,1,6.643482991876834e-07,6.643482991876834e-07,
bci_competition_iv_2a_proxy,kalofolias,rbfi_mq,0.3,1,7.765140551609785e-07,7.765140551609785e-07,
bci_competition_iv_2a_proxy,kalofolias,rbfi_mq,0.4,1,8.570756783760684e-07,8.570756783760684e-07,
bci_competition_iv_2a_proxy,kalofolias,rbfi_tps,0.1,1,5.673479463542618e-07,5.673479463542618e-07,
bci_competition_iv_2a_proxy,kalofolias,rbfi_tps,0.2,1,5.727708343237042e-07,5.727708343237042e-07,
bci_competition_iv_2a_proxy,kalofolias,rbfi_tps,0.3,1,6.01347930439032e-07,6.01347930439032e-07,
bci_competition_iv_2a_proxy,kalofolias,rbfi_tps,0.4,1,8.249982741091124e-07,8.249982741091124e-07,
bci_competition_iv_2a_proxy,kalofolias,sobolev,0.1,1,4.682983791526946e-07,4.682983791526946e-07,
bci_competition_iv_2a_proxy,kalofolias,sobolev,0.2,1,6.155896086652778e-07,6.155896086652778e-07,
bci_competition_iv_2a_proxy,kalofolias,sobolev,0.3,1,6.37718343633812e-07,6.37718343633812e-07,
bci_competition_iv_2a_proxy,kalofolias,sobolev,0.4,1,7.718866553004775e-07,7.718866553004775e-07,
bci_competition_iv_2a_proxy,kalofolias,spherical_spline,0.1,1,4.826783688087113e-07,4.826783688087113e-07,
bci_competition_iv_2a_proxy,kalofolias,spherical_spline,0.2,1,5.846721334898271e-07,5.846721334898271e-07,
bci_competition_iv_2a_proxy,kalofolias,spherical_spline,0.3,1,7.448995161124087e-07,7.448995161124087e-07,
bci_competition_iv_2a_proxy,kalofolias,spherical_spline,0.4,1,8.070586450420232e-07,8.070586450420232e-07,
bci_competition_iv_2a_proxy,kalofolias,spline_surface,0.1,1,5.494502716915971e-07,5.494502716915971e-07,
bci_competition_iv_2a_proxy,kalofolias,spline_surface,0.2,1,5.78841159160863e-07,5.78841159160863e-07,
bci_competition_iv_2a_proxy,kalofolias,spline_surface,0.3,1,5.969154062059123e-07,5.969154062059123e-07,
bci_competition_iv_2a_proxy,kalofolias,spline_surface,0.4,1,7.043773751744363e-07,7.043773751744363e-07,
bci_competition_iv_2a_proxy,kalofolias,temporal_laplacian,0.1,1,3.652198661686869e-07,3.652198661686869e-07,
bci_competition_iv_2a_proxy,kalofolias,temporal_laplacian,0.2,1,3.9240596889471597e-07,3.9240596889471597e-07,
bci_competition_iv_2a_proxy,kalofolias,temporal_laplacian,0.3,1,4.584058180025717e-07,4.584058180025717e-07,
bci_competition_iv_2a_proxy,kalofolias,temporal_laplacian,0.4,1,6.019928067032658e-07,6.019928067032658e-07,
bci_competition_iv_2a_proxy,kalofolias,tikhonov,0.1,1,4.38151375733876e-07,4.38151375733876e-07,
bci_competition_iv_2a_proxy,kalofolias,tikhonov,0.2,1,6.578697722537812e-07,6.578697722537812e-07,
bci_competition_iv_2a_proxy,kalofolias,tikhonov,0.3,1,5.822031624081444e-07,5.822031624081444e-07,
bci_competition_iv_2a_proxy,kalofolias,tikhonov,0.4,1,7.828708493640159e-07,7.828708493640159e-07,
bci_competition_iv_2a_proxy,kalofolias,trss,0.1,1,3.254412053207441e-07,3.254412053207441e-07,
bci_competition_iv_2a_proxy,kalofolias,trss,0.2,1,3.414203342271202e-07,3.414203342271202e-07,
bci_competition_iv_2a_proxy,kalofolias,trss,0.3,1,4.179892701376381e-07,4.179892701376381e-07,
bci_competition_iv_2a_proxy,kalofolias,trss,0.4,1,5.444154252280261e-07,5.444154252280261e-07,
bci_competition_iv_2a_proxy,kalofolias,tv,0.1,1,3.8743880891486086e-07,3.8743880891486086e-07,
bci_competition_iv_2a_proxy,kalofolias,tv,0.2,1,3.525299377087686e-07,3.525299377087686e-07,
bci_competition_iv_2a_proxy,kalofolias,tv,0.3,1,4.76915797585886e-07,4.76915797585886e-07,
bci_competition_iv_2a_proxy,kalofolias,tv,0.4,1,5.717403180443196e-07,5.717403180443196e-07,
bci_competition_iv_2a_proxy,kalofolias,wavelet_temporal,0.1,1,3.292428340049572e-07,3.292428340049572e-07,
bci_competition_iv_2a_proxy,kalofolias,wavelet_temporal,0.2,1,4.29370326974567e-07,4.29370326974567e-07,
bci_competition_iv_2a_proxy,kalofolias,wavelet_temporal,0.3,1,4.2708001913818363e-07,4.2708001913818363e-07,
bci_competition_iv_2a_proxy,kalofolias,wavelet_temporal,0.4,1,5.360704261258078e-07,5.360704261258078e-07,
bci_competition_iv_2a_proxy,knn__k3,bgsrp,0.1,13,5.246021986559074e-07,5.242165969108836e-07,6.933340762616823e-08
bci_competition_iv_2a_proxy,knn__k3,bgsrp,0.2,13,6.338232507356831e-07,6.248913377407458e-07,5.222466525242712e-08
bci_competition_iv_2a_proxy,knn__k3,bgsrp,0.3,14,7.428640241771823e-07,7.529585713910126e-07,9.043607069909056e-08
bci_competition_iv_2a_proxy,knn__k3,bgsrp,0.4,14,8.191167205565518e-07,8.147790946487614e-07,6.263875777588782e-08
bci_competition_iv_2a_proxy,knn__k3,directed_tv,0.1,13,3.6358302374727304e-07,3.5063318194629897e-07,5.1635148281324265e-08
bci_competition_iv_2a_proxy,knn__k3,directed_tv,0.2,13,4.308927750422481e-07,4.41254353519296e-07,5.340177433498912e-08
bci_competition_iv_2a_proxy,knn__k3,directed_tv,0.3,14,4.940288093050788e-07,5.006300080576945e-07,6.528493845852753e-08
bci_competition_iv_2a_proxy,knn__k3,directed_tv,0.4,14,5.371672482702643e-07,5.252763251559394e-07,7.46495907383011e-08
bci_competition_iv_2a_proxy,knn__k3,graph_time_tikhonov,0.1,13,4.0620973835600926e-07,3.846496345695215e-07,5.429938951092298e-08
bci_competition_iv_2a_proxy,knn__k3,graph_time_tikhonov,0.2,13,4.633249742613777e-07,4.515203807485538e-07,6.366183039566055e-08
bci_competition_iv_2a_proxy,knn__k3,graph_time_tikhonov,0.3,14,5.151320829356904e-07,4.922606437974738e-07,7.02317222287536e-08
bci_competition_iv_2a_proxy,knn__k3,graph_time_tikhonov,0.4,14,5.68041612118996e-07,5.715332691971797e-07,5.016616136616341e-08
bci_competition_iv_2a_proxy,knn__k3,gsmooth,0.1,13,5.201586245518589e-07,5.27473422726416e-07,7.065272499833919e-08
bci_competition_iv_2a_proxy,knn__k3,gsmooth,0.2,13,6.127035886148368e-07,5.841623367862743e-07,8.146961720264128e-08
bci_competition_iv_2a_proxy,knn__k3,gsmooth,0.3,14,6.984824599364773e-07,7.051275461777854e-07,7.942496037203749e-08
bci_competition_iv_2a_proxy,knn__k3,gsmooth,0.4,14,8.143949345184876e-07,8.082620201961602e-07,6.224822279460612e-08
bci_competition_iv_2a_proxy,knn__k3,heat_diffusion_temporal,0.1,13,3.681061816998366e-07,3.675640018115618e-07,4.186999710359047e-08
bci_competition_iv_2a_proxy,knn__k3,heat_diffusion_temporal,0.2,13,4.3957132107869157e-07,4.469090651172532e-07,4.5011731604784155e-08
bci_competition_iv_2a_proxy,knn__k3,heat_diffusion_temporal,0.3,14,5.049244160611176e-07,4.935422344922483e-07,7.295665754305667e-08
bci_competition_iv_2a_proxy,knn__k3,heat_diffusion_temporal,0.4,14,5.744435005827461e-07,5.775832991649879e-07,7.754952148032509e-08
bci_competition_iv_2a_proxy,knn__k3,idw,0.1,13,5.481639817288588e-07,5.47737380284041e-07,5.070334633078551e-08
bci_competition_iv_2a_proxy,knn__k3,idw,0.2,13,6.036509438749403e-07,5.55016080036707e-07,9.125689836935907e-08
bci_competition_iv_2a_proxy,knn__k3,idw,0.3,14,7.371518480479098e-07,7.383334375504391e-07,7.197204482025063e-08
bci_competition_iv_2a_proxy,knn__k3,idw,0.4,14,7.914274031601054e-07,7.841440741065937e-07,8.408798713002306e-08
bci_competition_iv_2a_proxy,knn__k3,linear,0.1,13,5.370788053989102e-07,5.087953407713902e-07,5.925781058611098e-08
bci_competition_iv_2a_proxy,knn__k3,linear,0.2,13,6.263980132005674e-07,6.245679509119419e-07,8.718479942792676e-08
bci_competition_iv_2a_proxy,knn__k3,linear,0.3,14,7.040203467976421e-07,7.199688888144866e-07,8.974693938435795e-08
bci_competition_iv_2a_proxy,knn__k3,linear,0.4,14,8.085463331767619e-07,8.065396435389989e-07,9.6274953108601e-08
bci_competition_iv_2a_proxy,knn__k3,mean,0.1,13,5.32857147897904e-07,5.274273885271929e-07,6.501555282403387e-08
bci_competition_iv_2a_proxy,knn__k3,mean,0.2,13,6.148637468208774e-07,5.928482476217364e-07,9.327668939522208e-08
bci_competition_iv_2a_proxy,knn__k3,mean,0.3,14,7.055084441972265e-07,7.145484080562499e-07,7.231768850815458e-08
bci_competition_iv_2a_proxy,knn__k3,mean,0.4,14,8.032970899899024e-07,8.060226150118551e-07,8.374673037152787e-08
bci_competition_iv_2a_proxy,knn__k3,nearest,0.1,13,5.657223127978417e-07,5.79001887638315e-07,6.164080395383306e-08
bci_competition_iv_2a_proxy,knn__k3,nearest,0.2,13,6.5921158369625e-07,6.940302908668463e-07,9.254041226058608e-08
bci_competition_iv_2a_proxy,knn__k3,nearest,0.3,14,7.257649207847758e-07,7.33440653500947e-07,7.005235145994855e-08
bci_competition_iv_2a_proxy,knn__k3,nearest,0.4,14,8.336396819069989e-07,8.059153910930022e-07,1.0652651611084276e-07
bci_competition_iv_2a_proxy,knn__k3,puy,0.1,13,5.313871134517227e-07,5.180040814319952e-07,5.370639547805928e-08
