dataset,method,family,graph,missing_ratio,mae,rmse,snr,block,source_file
physionet_eegmmidb,gsmooth,instant,kalofolias,0.4,1.4536978090468872e-05,3.0163183324054653e-05,2.94686728994622,physionet_eegmmidb__0.4_77,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,puy,instant,kalofolias,0.4,2.4855697520690968e-05,3.637739020317404e-05,3.976070852083468,physionet_eegmmidb__0.4_78,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,sobolev,instant,kalofolias,0.4,3.0122083809458072e-05,4.566228208758456e-05,0.535404218656736,physionet_eegmmidb__0.4_79,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,graph_time_tikhonov,tv_time,kalofolias,0.4,2.78616873901134e-05,3.986467013517878e-05,3.0348563733793794,physionet_eegmmidb__0.4_80,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,trss,tv_time,kalofolias,0.4,1.4334268917380648e-05,2.979603698593477e-05,1.7771793917132856,physionet_eegmmidb__0.4_81,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,tv,tv_time,kalofolias,0.4,1.2940706494656265e-05,2.685103154621416e-05,1.461443643942197,physionet_eegmmidb__0.4_82,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,temporal_laplacian,tv_time,kalofolias,0.4,3.150742010586543e-05,4.629730725572392e-05,0.6694926510236527,physionet_eegmmidb__0.4_83,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,heat_diffusion_temporal,tv_time,kalofolias,0.4,1.2083961274635303e-05,2.6643893838588532e-05,3.1511165352233816,physionet_eegmmidb__0.4_84,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,wavelet_temporal,tv_time,kalofolias,0.4,1.586681615052706e-05,3.471721740327888e-05,18.6212221141372,physionet_eegmmidb__0.4_86,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,directed_tv,tv_time,kalofolias,0.4,1.6899134453550126e-05,3.7597974013774576e-05,-0.4286654954119694,physionet_eegmmidb__0.4_87,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,linear,instant,kalofolias,0.1,2.120021010182177e-06,1.002797442766893e-05,1.6595704803403573,physionet_eegmmidb__0.1_88,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,nearest,instant,kalofolias,0.1,2.8529842961403816e-06,1.4156836705973344e-05,-2.9787272162554475,physionet_eegmmidb__0.1_89,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,mean,instant,kalofolias,0.1,2.352477683719089e-06,1.023806969363171e-05,1.4616058523655575,physionet_eegmmidb__0.1_90,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,idw,instant,kalofolias,0.1,2.1382294036415857e-06,9.366862182939096e-06,0.4088003710355763,physionet_eegmmidb__0.1_91,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,spherical_spline,instant,kalofolias,0.1,2.3058944524692317e-06,1.0019633725862518e-05,2.041074261381932,physionet_eegmmidb__0.1_92,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,rbfi_tps,instant,kalofolias,0.1,1.6190430971613736e-06,6.928222032187469e-06,3.563543725762152,physionet_eegmmidb__0.1_93,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,rbfi_mq,instant,kalofolias,0.1,2.1643727146500926e-06,8.904784422531023e-06,0.6376158448820042,physionet_eegmmidb__0.1_94,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,spline_surface,instant,kalofolias,0.1,5.302188718464196e-06,2.366686185000552e-05,-5.667029260344098,physionet_eegmmidb__0.1_95,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,gsp,instant,kalofolias,0.1,2.199249062811934e-06,9.57121909355814e-06,1.6702179760616829,physionet_eegmmidb__0.1_96,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,tikhonov,instant,kalofolias,0.1,8.909245664793145e-06,1.472159894500552e-05,14.303883747999706,physionet_eegmmidb__0.1_97,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,bgsrp,instant,kalofolias,0.1,2.1483863589535987e-05,2.9582646216657556e-05,4.57436428189462,physionet_eegmmidb__0.1_98,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,gsmooth,instant,kalofolias,0.1,2.3648146097411705e-06,1.0291764903684844e-05,0.3031361123984797,physionet_eegmmidb__0.1_99,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,puy,instant,kalofolias,0.1,2.600113402919748e-05,3.981925064973727e-05,2.934093230040944,physionet_eegmmidb__0.1_100,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,sobolev,instant,kalofolias,0.1,2.7878219990413144e-05,4.324366455999879e-05,3.908453505758762,physionet_eegmmidb__0.1_101,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,graph_time_tikhonov,tv_time,kalofolias,0.1,1.864890044142827e-05,2.773352451066693e-05,5.311973630462264,physionet_eegmmidb__0.1_102,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,trss,tv_time,kalofolias,0.1,2.0628604753478816e-06,8.969152745257855e-06,-0.8468755631653901,physionet_eegmmidb__0.1_103,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,tv,tv_time,kalofolias,0.1,2.4520016921976337e-06,1.067120421010509e-05,-1.516127964084682,physionet_eegmmidb__0.1_104,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,temporal_laplacian,tv_time,kalofolias,0.1,3.119354132377414e-05,4.6290600136097615e-05,4.74445052645247,physionet_eegmmidb__0.1_105,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,heat_diffusion_temporal,tv_time,kalofolias,0.1,2.615436912824228e-06,1.094024023000357e-05,0.0145067354473416,physionet_eegmmidb__0.1_106,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,wavelet_temporal,tv_time,kalofolias,0.1,3.2891483775750223e-06,1.268267334438632e-05,25.16616323582685,physionet_eegmmidb__0.1_108,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,directed_tv,tv_time,kalofolias,0.1,1.920783682601465e-06,8.692959711487393e-06,-0.8901433298746405,physionet_eegmmidb__0.1_109,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,linear,instant,kalofolias,0.2,3.4659565225073443e-06,1.1882372975251211e-05,5.58465111795668,physionet_eegmmidb__0.2_110,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,nearest,instant,kalofolias,0.2,5.063591611046701e-06,1.7494522769930747e-05,4.004053290117607,physionet_eegmmidb__0.2_111,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,mean,instant,kalofolias,0.2,3.965700790373383e-06,1.1768483860028314e-05,2.0144168639759985,physionet_eegmmidb__0.2_112,it46_physionet_multisubj_kalofolias_raw.csv
