graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
nnk__k4,synthetic_alpha,0.2,mean,0.1208467294395675,18,1.4280125843688834e-17,0.1208467294395675,0.1208467294395675,gsmooth,0.1278738544550376,18,0.0,0.00702712501547,3.683348423440707e-09,8.950536668960918e-07,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_alpha,0.1,mean,0.0589478976695531,17,7.152448122690996e-18,0.0589478976695531,0.0589478976695531,idw,0.0625841043918718,17,0.0,0.0036362067223186,1.036256682624278e-08,2.321214969078382e-06,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_alpha,0.2,mean,0.1208467294395675,17,1.4304896245381992e-17,0.1208467294395675,0.1208467294395675,tv,0.1270606942794721,17,0.0,0.0062139648399044,1.036256682624278e-08,2.31085240225214e-06,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_alpha,0.4,mean,0.2610509096263227,16,0.0,0.2610509096263227,0.2610509096263227,tv,0.2620373251911637,16,0.0,0.0009864155648409,2.9225329082331762e-08,6.020417790960343e-06,True,1.0
kalofolias,synthetic_beta,0.2,mean,0.1343883515386373,18,0.0,0.1343883515386373,0.1343883515386373,tv,0.1343889980578412,18,0.0,6.465192039228906e-07,3.683348423440707e-09,9.42937196400821e-07,True,1.0
knn__k3,synthetic_beta,0.2,mean,0.1277377870243789,19,0.0289891386351497,0.1144366579958622,0.1343883515386373,idw,0.1278566789951388,19,0.0292225087885631,0.0001188919707598,1.188770214042271e-07,2.2230003002590468e-05,True,0.8947368421052632
knn__k5,synthetic_beta,0.1,mean,0.0658619827367564,18,0.0,0.0658619827367564,0.0658619827367564,heat_diffusion_temporal,0.0658871198702635,18,1.4280125843688834e-17,2.5137133507185935e-05,3.683348423440707e-09,9.282038027070582e-07,True,1.0
knn__k5,synthetic_beta,0.2,mean,0.1343883515386373,18,0.0,0.1343883515386373,0.1343883515386373,idw,0.134560782294406,18,2.856025168737767e-17,0.0001724307557687,3.683348423440707e-09,9.245204542836176e-07,True,1.0
nnk__k4,synthetic_beta,0.2,mean,0.1343883515386373,18,0.0,0.1343883515386373,0.1343883515386373,idw,0.134560782294406,18,2.856025168737767e-17,0.0001724307557687,3.683348423440707e-09,8.840036216257697e-07,True,1.0
knn__k3,bci_iv2a_real_s3,0.3,nearest,9.129483772046636e-07,11,1.4404403644574946e-08,9.037457090435604e-07,9.196497454787746e-07,trss,9.466712254750728e-07,11,9.994292091068005e-09,3.3722848270409096e-08,7.780212158114597e-05,0.0133041627903759,True,1.0
knng,synthetic,0.3,spherical_spline,0.1823133437159368,20,0.0034784518510953,0.1808272473649458,0.1837269429546973,tv,0.1867921470298944,60,0.0049459481280098,0.0044788033139576,0.000112350744126,0.0190996265014214,True,0.5800000000000001
