dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file,family
synthetic_beta,gsmooth,knng__k4_sigma1,0.2,0.1328613633611322,0.3272391669307398,,0.0425901989209931,synthetic_beta__0.2_121,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,puy,knng__k4_sigma1,0.2,0.3530213111615188,0.4575816757597552,,5.489649356085072,synthetic_beta__0.2_122,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,sobolev,knng__k4_sigma1,0.2,0.5514656173983106,0.6206452728956896,,1.2770029657868442,synthetic_beta__0.2_123,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,graph_time_tikhonov,knng__k4_sigma1,0.2,0.363354804174184,0.4460321673064328,,5.275417698612315,synthetic_beta__0.2_124,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,trss,knng__k4_sigma1,0.2,0.1352942642750976,0.3418651238261243,,-0.2337803644998499,synthetic_beta__0.2_125,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,tv,knng__k4_sigma1,0.2,0.1338863963759069,0.3302396380647021,,-0.0776051188200975,synthetic_beta__0.2_126,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,temporal_laplacian,knng__k4_sigma1,0.2,0.4307058548416829,0.5002750461883627,,3.6433909162561,synthetic_beta__0.2_127,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,heat_diffusion_temporal,knng__k4_sigma1,0.2,0.1328895980734084,0.3268838599005768,,0.0717369847877501,synthetic_beta__0.2_128,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,wavelet_temporal,knng__k4_sigma1,0.2,0.158050366836713,0.336714365051569,,13.90447777224853,synthetic_beta__0.2_130,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,directed_tv,knng__k4_sigma1,0.2,0.1406860367240569,0.3446875855678392,,-0.4613008832272294,synthetic_beta__0.2_131,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,linear,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0784418055359528,0.2949265284406414,,-2.19182207727983,synthetic_beta__0.1_132,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,nearest,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0859116155366704,0.3279639310396917,,-3.1300250864740704,synthetic_beta__0.1_133,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,mean,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0658619827367564,0.2310340626127287,,-0.0856866621374472,synthetic_beta__0.1_134,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,idw,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0660994520829936,0.2333514445938537,,-0.1749711825681111,synthetic_beta__0.1_135,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,spherical_spline,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0900113475768736,0.3618140795188991,,-3.465150351702601,synthetic_beta__0.1_136,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,rbfi_tps,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0766133823278453,0.2886232082408441,,-1.9506312145781888,synthetic_beta__0.1_137,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,rbfi_mq,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0781198412781059,0.2984608959155374,,-2.173611837317409,synthetic_beta__0.1_138,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,spline_surface,vknng__alpha1_k4_k_max8_k_min2,0.1,0.4583868309598552,1.7384305001759384,,-17.116119806923578,synthetic_beta__0.1_139,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,gsp,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0695690017599285,0.2475350303043369,,-0.6874866872969301,synthetic_beta__0.1_140,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,tikhonov,vknng__alpha1_k4_k_max8_k_min2,0.1,0.1628949808805751,0.2692145764883926,,13.76503560522925,synthetic_beta__0.1_141,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,bgsrp,vknng__alpha1_k4_k_max8_k_min2,0.1,0.4547743594818143,0.5513701223388022,,2.6926528175050404,synthetic_beta__0.1_142,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,gsmooth,vknng__alpha1_k4_k_max8_k_min2,0.1,0.0657329612484587,0.2318832235657446,,-0.1197794417476625,synthetic_beta__0.1_143,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,puy,vknng__alpha1_k4_k_max8_k_min2,0.1,0.3926084034837263,0.468267134749257,,4.144790814283742,synthetic_beta__0.1_144,it36_3syn_beta_low_missing_raw.csv,
