method,graph,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
graph_time_tikhonov,knng,644,0.2062145889940652,0.21016726945145453,1.709303811670817e-05,0.25341333833430046,1.6885499049074675,7.185044302598673
graph_time_tikhonov,knng__k4_sigma1,226,0.34764654265191774,0.12788945689470824,0.3774645416592269,0.43096448692427974,,4.845689354921327
graph_time_tikhonov,nnk,324,0.15168182696093163,0.16039743832530257,1.463126972747296e-05,0.22137323584246005,1.0622622170493643,11.738628352640351
graph_time_tikhonov,nnk__k4,251,0.27327269681961996,0.11273817868038492,0.2953939813323009,0.38775496730544967,,8.040777602807198
graph_time_tikhonov,vknng,644,0.21257905529089094,0.21630864519825094,1.706216581652084e-05,0.2591675781737016,1.7477619015294086,7.0500529765882485
graph_time_tikhonov,vknng__alpha1_k4_k_max8_k_min2,226,0.37175946548297056,0.13496014499690343,0.4096457123704038,0.4499964485413869,,4.171332714455382
gsmooth,aew,484,0.07128310357381012,0.08749263928564924,1.0016611810909738e-05,0.16340705506363937,0.49079555640038125,2.6758625247333967
gsmooth,aew__k4_sigma_corr0_5_sigma_dist1,210,0.14611216051957468,0.08743559845082383,0.1288164554657387,0.32104534248565725,,0.349328511580615
gsmooth,gaussian,364,0.07107680419561346,0.08750190816001148,1.0010200942398614e-05,0.1618934207642213,0.5110907105609485,2.109988999641595
gsmooth,gaussian__sigma1,364,0.09906471346829351,0.09926782860005753,0.07509266877433565,0.21600013563471857,,1.8745680609014796
gsmooth,kalofolias,815,0.09302737678232137,0.09955379499074236,0.0657906360118897,0.2089146440760806,0.4754993195755279,1.2333273499370079
gsmooth,knn,248,0.07086203887119083,0.08859882490821175,9.988629103900247e-06,0.16215060464784903,0.4869099834267281,2.7432148468931414
gsmooth,knn__k3,628,0.060589797219518425,0.0922466247837556,1.2820073909296268e-05,0.1326345237289406,,2.8317741171717183
gsmooth,knn__k5,246,0.15070828361820274,0.08613816893818133,0.1367974966691755,0.32933614566337094,,0.07505244132656261
gsmooth,knng,484,0.07264405174788174,0.08889244666125487,1.003147928411216e-05,0.1662473018603584,0.4996577228582155,2.5352914704752396
gsmooth,knng__k4_sigma1,226,0.1491054089050366,0.08735616522546244,0.1328613633611322,0.3255546383499435,,0.1484816788549686
gsmooth,nnk,244,0.0727387615407734,0.08939285983824143,9.890843573255237e-06,0.16708293638644794,0.48823642679078033,2.4929628012418923
gsmooth,nnk__k4,251,0.1483310349130383,0.08877107050233553,0.1349737079977178,0.32422579759776105,,0.0755793668455398
gsmooth,vknng,484,0.07261879244737524,0.08888587204856828,1.0087204594280814e-05,0.16617058081987557,0.4989797867164521,2.5343590153060616
gsmooth,vknng__alpha1_k4_k_max8_k_min2,226,0.14914390274049383,0.08734158335623289,0.1327545351918531,0.32565960864561827,,0.12616015114154763
gsp,aew,164,0.07445495948884882,0.09313927262719059,1.035988395813138e-05,0.1751808779797139,0.3923495118547446,3.5400759483901254
gsp,aew__k4_sigma_corr0_5_sigma_dist1,194,0.15718501146845262,0.09087641189970619,0.1572031413310987,0.35560179205860354,,-0.24363814313157184
gsp,gaussian,124,0.07051064483847944,0.08859523089419762,1.0010296649905257e-05,0.16106500562598802,0.48750278629518606,2.19531992514093
gsp,gaussian__sigma1,305,0.11236832946963685,0.09910285625890886,0.1239125728989621,0.2457020229345043,,0.6475882011081598
gsp,kalofolias,472,0.12188067497255355,0.12175066443465922,0.095781802823191,0.27788012002490764,0.3886545179819202,-0.14051178658840047
gsp,knn,88,0.0722312146673153,0.09544620048326123,1.0053965692081732e-05,0.16838816267373097,0.38747186805197165,3.796518216992797
gsp,knn__k3,529,0.07983733761655615,0.11320916010193195,1.737480534456383e-05,0.1739933312443374,0.5081333513434152,0.8798967670594106
gsp,knn__k5,230,0.15938628767622123,0.08912533471966604,0.144204697108478,0.35428139657213154,,-0.43100006593548934
gsp,knng,164,0.07788102677309533,0.09693617319210461,1.0769080677362412e-05,0.1816814866277667,0.41314167616289427,3.1139511116194845
gsp,knng__k4_sigma1,210,0.16114409912833166,0.09114613081206416,0.1552591896004505,0.36131569501870164,,-0.5989643294323029
gsp,nnk,84,0.0849302239199957,0.1079678620042505,1.088893974400132e-05,0.20144308466537622,0.34672460442680064,2.8157165457695212
gsp,nnk__k4,235,0.16493910225727967,0.09578215340561147,0.1544337679781376,0.3725647000111542,,-1.0055385877770602
gsp,vknng,164,0.07751603374979509,0.09650190638523821,1.0645028488817236e-05,0.18070851835964302,0.4158173777469283,3.1272489399362815
gsp,vknng__alpha1_k4_k_max8_k_min2,210,0.16105098176921345,0.09112170301657771,0.1552141963980437,0.36108465359616215,,-0.6288177658716532
heat_diffusion_temporal,aew,4,1.4162460097647208e-05,1.3927215946433414e-07,1.4183416236959895e-05,2.9872595877594718e-05,0.000169717128890675,4.995599455032384
heat_diffusion_temporal,aew__k4_sigma_corr0_5_sigma_dist1,210,0.1446792706983291,0.0852299556908769,0.1346538143145412,0.3095433711741865,,0.23618789064603377
heat_diffusion_temporal,gaussian,4,9.988749259252068e-06,1.405238794095778e-07,9.964377070315247e-06,2.0669804881101572e-05,0.000128003179800825,8.498217129461747
heat_diffusion_temporal,gaussian__sigma1,364,0.09839251615427061,0.09837349355963136,0.07325611080612715,0.2117590098730181,,2.17292400044122
heat_diffusion_temporal,kalofolias,335,0.9866501312909067,0.880512369710294,0.732702304583325,1.904611385811756,0.000149668097131775,-11.069575030509593
heat_diffusion_temporal,knn,8,1.3517697135226299e-05,2.05676530894962e-06,1.3531236496155651e-05,2.8568782811850543e-05,0.0001653254891288125,5.488707013226263
heat_diffusion_temporal,knn__k3,664,0.05677503081461176,0.08958364517569627,1.179624307424743e-05,0.1220450107986188,,2.483427988709598
heat_diffusion_temporal,knn__k5,246,0.1499503491313858,0.08514199679793583,0.1373113918407242,0.3229877698957485,,0.09867775029999468
heat_diffusion_temporal,knng,4,1.2711713889343867e-05,1.3228990014735854e-07,1.2744928045315669e-05,2.6784798094221915e-05,0.00015521286082405,6.002043703716947
heat_diffusion_temporal,knng__k4_sigma1,226,0.14789157542476145,0.08540739312400152,0.1366789887480681,0.3179028502086236,,0.14071089693358466
heat_diffusion_temporal,nnk,4,2.337729629961548e-05,1.3127936161718564e-07,2.3358399782254118e-05,4.93446409642762e-05,0.000271216223298,0.4514893793960694
heat_diffusion_temporal,nnk__k4,251,0.146084881217407,0.08634764952107267,0.1352014608279423,0.3127051932186426,,0.041440546674013895
