combination,best_method,best_mean_mae,best_n
# Placeholder CSV created to satisfy documentation links. Replace with real data as needed.
graph,dataset,missing_ratio,best_method,best_mean_mae,best_median_mae,best_count,n_methods,second_mean_mae,delta_to_second,second_method
knn__k3,bci_competition_proxy,0.3,trss,7.436753600646277e-06,7.339208711631502e-06,40,7,7.51578074834893e-06,7.902714770265355e-08,tv
knn__k3,bci_competition_proxy,0.4,trss,7.485744683420906e-06,7.433795443972804e-06,16,7,7.679330471193295e-06,1.9358578777238938e-07,tv
knn__k3,bci_iv2a_real_s1,0.1,trss,8.554214394307163e-07,8.438957079420025e-07,36,7,1.2524695785030305e-06,3.9704813907231416e-07,tv
knn__k3,bci_iv2a_real_s1,0.2,trss,1.5899176272685405e-06,1.6619498442885525e-06,64,7,2.406509202102135e-06,8.165915748335946e-07,mean
knn__k3,bci_iv2a_real_s1,0.3,trss,3.217004900861791e-06,3.2594083898718594e-06,41,7,4.393423523893357e-06,1.1764186230315661e-06,tv
knn__k3,bci_iv2a_real_s1,0.4,trss,4.253041601282743e-06,4.253041601282743e-06,2,4,5.673497380420196e-06,1.4204557791374531e-06,tv
knn__k3,bci_iv2a_real_s2,0.1,trss,2.911389908802025e-07,2.902512315146147e-07,10,7,3.338101704915364e-07,4.2671179611333946e-08,nearest
knn__k3,bci_iv2a_real_s2,0.2,trss,5.929461605199567e-07,5.974913729252581e-07,22,7,6.629339853922526e-07,6.998782487229586e-08,nearest
knn__k3,bci_iv2a_real_s2,0.3,trss,1.0625548599735037e-06,1.061023886901822e-06,15,7,1.193228827582465e-06,1.306739676089614e-07,nearest
knn__k3,bci_iv2a_real_s2,0.4,trss,1.3944221101425227e-06,1.3944221101425227e-06,2,4,1.590112956155853e-06,1.956908460133303e-07,tv
knn__k3,bci_iv2a_real_s3,0.1,nearest,2.5353855556911893e-07,2.518939971923828e-07,6,7,2.6690433302878973e-07,1.3365777459670805e-08,trss
knn__k3,bci_iv2a_real_s3,0.2,nearest,5.115988760283499e-07,5.114428202311198e-07,11,7,5.261379159652192e-07,1.453903993686924e-08,trss
knn__k3,bci_iv2a_real_s3,0.3,nearest,9.129483772046636e-07,9.151204427083332e-07,11,7,9.466712254750728e-07,3.37228482704092e-08,trss
knn__k3,iris_graph_signal,0.1,trss,0.1055107467762883,0.1036181201729141,28,7,0.1260868599902125,0.02057611321392419,tv
knn__k3,iris_graph_signal,0.2,trss,0.1076542132828412,0.1036181201729141,114,7,0.1347834542076349,0.027129240924793713,tv
knn__k3,iris_graph_signal,0.3,trss,0.1057336955113899,0.1036181201729141,21,7,0.1265532966378819,0.02081960112649199,tv
knn__k3,iris_graph_signal,0.4,trss,0.2535965669230502,0.2535965669230502,2,4,0.2680898730864469,0.014493306163396669,mean
