dataset,method,family,graph,missing_ratio,mae,rmse,snr,block,source_file,dtw
synthetic_alpha,tikhonov,instant,nnk__k4,0.1,0.1177769413625251,0.2886600244592175,20.58439566767384,synthetic_alpha__0.1_119,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,bgsrp,instant,nnk__k4,0.1,0.4798334833687857,0.5911715386651247,2.2603186709381,synthetic_alpha__0.1_120,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsmooth,instant,nnk__k4,0.1,0.0647474281099512,0.2280214373234714,0.2262052079777743,synthetic_alpha__0.1_121,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,puy,instant,nnk__k4,0.1,0.2032801843448572,0.3598466882530949,12.004534606570983,synthetic_alpha__0.1_122,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,sobolev,instant,nnk__k4,0.1,0.4682376668512258,0.534681799637914,2.643641378633625,synthetic_alpha__0.1_123,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,graph_time_tikhonov,tv_time,nnk__k4,0.1,0.2429293142640945,0.3392091496166417,9.188371918235394,synthetic_alpha__0.1_124,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,trss,tv_time,nnk__k4,0.1,0.0757678322013789,0.2668395424780093,-1.0940193022110958,synthetic_alpha__0.1_125,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,tv,tv_time,nnk__k4,0.1,0.0659160278699153,0.2318128661892659,0.1272467216395493,synthetic_alpha__0.1_126,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,temporal_laplacian,tv_time,nnk__k4,0.1,0.3346174239114829,0.3946104404287541,5.776230912967495,synthetic_alpha__0.1_127,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,heat_diffusion_temporal,tv_time,nnk__k4,0.1,0.0697197645090318,0.2407835488251842,-0.3151932710152595,synthetic_alpha__0.1_128,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,wavelet_temporal,tv_time,nnk__k4,0.1,0.0767988329658661,0.2352475143679664,26.987616492571,synthetic_alpha__0.1_130,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,directed_tv,tv_time,nnk__k4,0.1,0.1147354965787797,0.4046008761083261,-4.845265478077091,synthetic_alpha__0.1_131,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,linear,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.0634270409346891,0.244209901265437,-0.0777226940065491,synthetic_alpha__0.1_132,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,nearest,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.0642770299551405,0.2523142036825606,-0.2761905701468088,synthetic_alpha__0.1_133,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,mean,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.0589478976695532,0.2085273501920232,0.9476396031020364,synthetic_alpha__0.1_134,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,idw,instant,aew__k4_sigma_corr0_5_sigma_dist1,0.1,0.0625841043918718,0.2198587343426586,0.5658803059686505,synthetic_alpha__0.1_135,it56_3syn_mr10_only_raw.csv,
