dataset,graph,missing_ratio,best_method,best_mean,best_n,second_method,second_mean,second_n
physionet_eegmmidb,vknng__alpha1_k4_k_max8_k_min2,0.1,gsp,1.6927911931818182e-06,5,trss,1.7007869244698014e-06,6
physionet_eegmmidb,vknng__alpha1_k4_k_max8_k_min2,0.2,linear,3.3157670454545457e-06,6,gsmooth,4.470891335227273e-06,6
physionet_eegmmidb,vknng__alpha1_k4_k_max8_k_min2,0.3,nearest,8.520170454545455e-06,6,idw,8.733274028882618e-06,6
physionet_eegmmidb,vknng__alpha1_k4_k_max8_k_min2,0.4,tv,1.2736743134890531e-05,7,mean,1.2742657342657348e-05,7
physionet_eegmmidb_real,gaussian__sigma0.6,0.2,trss,3.025449728157293e-06,4,heat_diffusion_temporal,4.445297735878512e-06,9
physionet_eegmmidb_real,gaussian__sigma0.6,0.3,trss,5.555935484615721e-06,4,heat_diffusion_temporal,7.747326233401544e-06,9
physionet_eegmmidb_real,gaussian__sigma1.0,0.1,trss,1.4896969547654042e-06,21,tv,2.0712814229603237e-06,21
physionet_eegmmidb_real,gaussian__sigma1.0,0.2,trss,3.024337875624316e-06,32,tv,4.08857717765113e-06,28
physionet_eegmmidb_real,gaussian__sigma1.0,0.3,trss,5.577120298297903e-06,25,tv,7.2000966087302765e-06,21
physionet_eegmmidb_real,gaussian__sigma1.0,0.4,trss,7.496747792637002e-06,2,tv,9.348741517670426e-06,2
physionet_eegmmidb_real,kalofolias,0.1,trss,1.496210327036873e-06,6,tv,2.074942706635956e-06,6
physionet_eegmmidb_real,kalofolias,0.2,trss,3.0256595874984324e-06,6,tv,4.080258125451883e-06,6
physionet_eegmmidb_real,kalofolias,0.3,trss,5.592171257208709e-06,6,tv,7.208731485597126e-06,6
physionet_eegmmidb_real,knn__k3,0.05,trss,4.698510007545704e-07,6,heat_diffusion_temporal,1.5419397146815433e-06,6
physionet_eegmmidb_real,knn__k3,0.1,sobolev_temporal,8.967821870860175e-07,8,trss,9.74798517257554e-07,75
physionet_eegmmidb_real,knn__k3,0.2,sobolev_temporal,1.8352372382387051e-06,8,adaptive_temporal,2.5046225687756503e-06,8
physionet_eegmmidb_real,knn__k3,0.3,trss,3.85127716524017e-06,79,tv,7.062562931348712e-06,63
physionet_eegmmidb_real,knn__k3,0.4,trss,5.098916319768773e-06,8,tikhonov,8.425557489138208e-06,2
physionet_eegmmidb_real,knn__k5,0.2,trss,1.973028019055966e-06,9,tv,4.06782154094027e-06,5
physionet_eegmmidb_real,knn__k5,0.3,trss,3.7115305267250296e-06,9,tv,7.153213667003167e-06,5
physionet_eegmmidb_real,knn__k7,0.2,trss,2.11877114126534e-06,4,heat_diffusion_temporal,4.15757440749115e-06,4
physionet_eegmmidb_real,knn__k7,0.3,trss,3.990608076527345e-06,4,heat_diffusion_temporal,7.649670354898032e-06,4
synthetic_16ch,gaussian,0.1,tv,0.4781823124093958,26,trss,0.4805375701550778,26
synthetic_16ch,gaussian,0.2,tv,0.4992863947267722,33,graph_time_tikhonov,0.49989877419579476,33
synthetic_16ch,gaussian,0.3,trss,0.5190594481876979,36,tv,0.5220023524260955,36
synthetic_16ch,gaussian,0.4,trss,0.5183286760437817,9,tv,0.5266971667294958,9
synthetic_16ch,kalofolias,0.1,trss,0.4765685260087021,9,graph_time_tikhonov,0.49126937442509067,9
synthetic_16ch,kalofolias,0.2,tv,0.5099297878094857,16,trss,0.5110247459669012,16
synthetic_16ch,kalofolias,0.3,trss,0.535312370918887,16,tv,0.5368909545407387,16
synthetic_16ch,kalofolias,0.4,graph_time_tikhonov,0.528733542678436,3,tv,0.5395463537469988,3
synthetic_16ch,knn__k3,0.1,trss,0.4443135833492217,38,tv,0.4589911658108399,40
synthetic_16ch,knn__k3,0.2,trss,0.46792615551007594,45,tv,0.4753911482232799,47
synthetic_16ch,knn__k3,0.3,trss,0.4918050585549003,48,tv,0.4951937329442018,48
synthetic_16ch,knn__k3,0.4,trss,0.5010018457104969,12,tv,0.5054077702625505,12
synthetic_16ch,knn__k3,1ch,mean,0.42618062090703573,10,tv,0.4359964742645139,10
