graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
nnk__k4,synthetic_broad,0.1,heat_diffusion_temporal,0.0802106122308312,19,1.4258071582120596e-17,0.0802106122308312,0.0802106122308312,trss,0.0812340504905933,19,0.0,0.001023438259762,1.3120632979510227e-09,3.490088372549721e-07,True,1.0
nnk__k4,synthetic_broad,0.2,heat_diffusion_temporal,0.1195730413694921,19,1.4258071582120596e-17,0.1195730413694921,0.1195730413694921,trss,0.1240127950584369,19,0.0,0.0044397536889447,1.3120632979510227e-09,3.476967739570211e-07,True,1.0
nnk__k4,synthetic_broad,0.3,heat_diffusion_temporal,0.1976438020164451,20,0.0,0.1976438020164451,0.1976438020164451,mean,0.2019202316948071,20,2.847661973129784e-17,0.004276429678362,4.682682358742056e-10,1.3111510604477758e-07,True,1.0
nnk__k4,synthetic_broad,0.4,heat_diffusion_temporal,0.2365847789332304,20,0.0,0.2365847789332304,0.2365847789332304,mean,0.2384982122315032,20,2.847661973129784e-17,0.0019134332982728,4.682682358742056e-10,1.3064683780890337e-07,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_broad,0.2,heat_diffusion_temporal,0.1199898235471238,17,1.4304896245381992e-17,0.1199898235471238,0.1199898235471238,directed_tv,0.1207908034059873,17,1.4304896245381992e-17,0.0008009798588634,1.036256682624278e-08,2.2797647017734117e-06,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_broad,0.3,heat_diffusion_temporal,0.1992775936373751,18,0.0,0.1992775936373751,0.1992775936373751,directed_tv,0.2002521287634896,18,0.0,0.0009745351261145,3.683348423440707e-09,8.729535763554476e-07,True,1.0
vknng__alpha1_k4_k_max8_k_min2,synthetic_broad,0.4,heat_diffusion_temporal,0.2359544392584446,18,0.0,0.2359544392584446,0.2359544392584446,tv,0.2362645675580456,18,5.712050337475532e-17,0.000310128299601,3.683348423440707e-09,8.692702279320068e-07,True,1.0
kalofolias,physionet_eegmmidb,0.3,idw,8.746354015622063e-06,26,5.727420883313102e-07,8.53229266147363e-06,8.95379319205785e-06,rbfi_tps,8.795103445016241e-06,25,7.303996782195032e-07,4.8749429394178326e-08,0.3592702712068925,1.0,False,0.1507692307692307
knn__k3,physionet_eegmmidb,0.3,idw,8.708258474162704e-06,87,7.212114438159773e-07,8.563290274147903e-06,8.86545310839062e-06,rbfi_tps,9.010196273749212e-06,77,7.810712699006375e-07,3.019377995865077e-07,0.0277244435852635,1.0,False,0.199582027168234
knn,synthetic,0.3,idw,0.173150056359198,54,0.0345358488209052,0.1639709273091214,0.1819000416888528,trss,0.1777970852343147,72,0.0323328809027406,0.0046470288751167,0.2299666464602062,1.0,False,0.1255144032921811
aew__k4_sigma_corr0_5_sigma_dist1,physionet_eegmmidb,0.2,linear,3.3157670454545457e-06,6,0.0,3.3157670454545457e-06,3.3157670454545457e-06,trss,3.976409835055152e-06,6,0.0,6.606427896006063e-07,0.0012619447673879,0.1943394941777478,False,1.0
gaussian__sigma1,physionet_eegmmidb,0.2,linear,3.2929761878826204e-06,25,2.482531438730636e-07,3.1996954298801344e-06,3.3858100019373644e-06,gsmooth,4.419891963339915e-06,25,3.6618482928290123e-07,1.1269157754572944e-06,1.278831828979622e-09,3.555152484563349e-07,True,1.0
kalofolias,physionet_eegmmidb,0.2,linear,3.3354570458084896e-06,25,2.529716575757342e-07,3.2360112561526923e-06,3.4310272738236743e-06,gsp,4.529024084106736e-06,24,2.9190081328982815e-07,1.1935670382982466e-06,1.9256932044747e-09,5.083830059813209e-07,True,1.0
knn__k3,physionet_eegmmidb,0.2,linear,3.364782356922454e-06,87,3.018928089986625e-07,3.301531441015812e-06,3.430710834499948e-06,idw,4.923780034490877e-06,87,4.0093987548761443e-07,1.5589976775684232e-06,4.675210287829341e-30,1.369836614333997e-27,True,1.0
knn__k5,physionet_eegmmidb,0.2,linear,3.3157670454545457e-06,6,0.0,3.3157670454545457e-06,3.3157670454545457e-06,gsmooth,4.3782376893939394e-06,6,0.0,1.0624706439393938e-06,0.0012619447673879,0.1930775494103599,False,1.0
knng__k4_sigma1,physionet_eegmmidb,0.2,linear,3.3157670454545457e-06,6,0.0,3.3157670454545457e-06,3.3157670454545457e-06,gsmooth,4.435893349947633e-06,6,9.278781043225276e-22,1.120126304493087e-06,0.0012619447673879,0.1905536598755839,False,1.0
nnk__k4,physionet_eegmmidb,0.2,linear,3.3157670454545457e-06,7,0.0,3.3157670454545457e-06,3.3157670454545457e-06,tv,4.438391049136511e-06,7,0.0,1.1226240036819653e-06,0.0004124783363855,0.0664090121580688,False,1.0
vknng__alpha1_k4_k_max8_k_min2,physionet_eegmmidb,0.2,linear,3.3157670454545457e-06,6,0.0,3.3157670454545457e-06,3.3157670454545457e-06,gsmooth,4.470891335227273e-06,6,0.0,1.155124289772727e-06,0.0012619447673879,0.188029770340808,False,1.0
gaussian__sigma1.0,movielens_graph_signal,0.1,mean,0.0168450453990104,10,0.0017462002686715,0.0158740817210685,0.0178258655505112,tv,0.0168459995558179,10,0.0017466897360703,9.541568074811213e-07,0.5695872081149207,1.0,False,0.16
knn__k3,movielens_graph_signal,0.1,mean,0.0169008487786092,26,0.0020465037282152,0.0161564830681658,0.0176550679372466,tv,0.0169475665106143,26,0.0020805920957449,4.671773200512139e-05,0.7482641259638236,1.0,False,0.0532544378698225
knn__k3,movielens_graph_signal,0.2,mean,0.0355783653828781,44,0.0028452930072569,0.0347441446069303,0.0363984243753123,tv,0.0360211077403662,90,0.0034264253884403,0.000442742357488,0.8106930685054908,1.0,False,0.0257575757575757
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_alpha,0.1,mean,0.0589478976695532,16,0.0,0.0589478976695532,0.0589478976695532,idw,0.0625841043918718,16,0.0,0.0036362067223186,2.9225329082331762e-08,6.31267108178366e-06,True,1.0
