id,count_paths,has_run_metadata,has_significance,figure_pdfs,figure_pngs
it43_physionet_run12_allsubj_stats,1,0,0,0,0
it43_physionet_run12_allsubj_tables,2,0,0,0,0
it44_physionet_allruns_allsubj_integration_log,1,0,0,0,0
it44_physionet_allruns_allsubj_qa_report,1,0,0,0,0
it44_physionet_allruns_allsubj_raw,1,0,0,0,0
it44_physionet_allruns_allsubj_run_metadata,1,1,0,0,0
it44_physionet_allruns_allsubj_significance,1,0,1,0,0
it44_physionet_allruns_allsubj_stats,1,0,0,0,0
it44_physionet_allruns_allsubj_tables,2,0,0,0,0
it45_physionet_multisubj_gaussian_integration_log,1,0,0,0,0
it45_physionet_multisubj_gaussian_qa_report,1,0,0,0,0
it45_physionet_multisubj_gaussian_raw,1,0,0,0,0
it45_physionet_multisubj_gaussian_run_metadata,1,1,0,0,0
it45_physionet_multisubj_gaussian_significance,1,0,1,0,0
it45_physionet_multisubj_gaussian_stats,1,0,0,0,0
it45_physionet_multisubj_gaussian_tables,2,0,0,0,0
it46_physionet_multisubj_kalofolias_integration_log,1,0,0,0,0
it46_physionet_multisubj_kalofolias_qa_report,1,0,0,0,0
it46_physionet_multisubj_kalofolias_raw,1,0,0,0,0
it46_physionet_multisubj_kalofolias_run_metadata,1,1,0,0,0
it46_physionet_multisubj_kalofolias_significance,1,0,1,0,0
it46_physionet_multisubj_kalofolias_stats,1,0,0,0,0
it46_physionet_multisubj_kalofolias_tables,2,0,0,0,0
it47_physionet_multisubj_best3graphs_integration_log,1,0,0,0,0
it47_physionet_multisubj_best3graphs_qa_report,1,0,0,0,0
it47_physionet_multisubj_best3graphs_raw,1,0,0,0,0
it47_physionet_multisubj_best3graphs_run_metadata,1,1,0,0,0
it47_physionet_multisubj_best3graphs_significance,1,0,1,0,0
it47_physionet_multisubj_best3graphs_stats,1,0,0,0,0
it47_physionet_multisubj_best3graphs_tables,2,0,0,0,0
it48_physionet_multisubj_high_mr_integration_log,1,0,0,0,0
it48_physionet_multisubj_high_mr_qa_report,1,0,0,0,0
it48_physionet_multisubj_high_mr_raw,1,0,0,0,0
it48_physionet_multisubj_high_mr_run_metadata,1,1,0,0,0
it48_physionet_multisubj_high_mr_significance,1,0,1,0,0
it48_physionet_multisubj_high_mr_stats,1,0,0,0,0
it48_physionet_multisubj_high_mr_tables,2,0,0,0,0
it49_physionet_multisubj_low_mr_integration_log,1,0,0,0,0
it49_physionet_multisubj_low_mr_qa_report,1,0,0,0,0
it49_physionet_multisubj_low_mr_raw,1,0,0,0,0
it49_physionet_multisubj_low_mr_run_metadata,1,1,0,0,0
it49_physionet_multisubj_low_mr_significance,1,0,1,0,0
it49_physionet_multisubj_low_mr_stats,1,0,0,0,0
it49_physionet_multisubj_low_mr_tables,2,0,0,0,0
it50_physionet_multisubj_strong_tv_qa_report,1,0,0,0,0
