dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,snr_initial_db
iv100hz_mat,knn__k3,trss,0.2,0,75.35154784612389,229.6093675064696,7.32979476996259,1466.2625133279118,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03677360800020324,0.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,0,291.30805358468206,377.2499097542639,4.159964319655674,2754.403146524682,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.0158222879999812,0.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,0,325.63784745936414,417.3383048962716,3.1804940971551248,3187.1756120168793,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.227395649999835,0.0
iv100hz_mat,knn__k3,mean,0.2,1,72.44819025437738,224.2049233193068,7.928701087549354,1437.6893009972237,{},,5,0.003609555999901204,0.0
iv100hz_mat,knn__k3,nearest,0.2,1,100.57576051530214,305.6123710311097,5.050970203743405,1830.4065342096371,{},,5,0.008361649999642395,0.0
iv100hz_mat,knn__k3,tikhonov,0.2,1,166.5477484443054,274.6359526317757,6.552011825335188,1854.2384644247968,"{""alpha"": 0.1}",,5,0.01207068999974581,0.0
iv100hz_mat,knn__k3,tv,0.2,1,81.71563122852652,252.55772975698238,6.69202843622912,1575.8034393487433,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.27854496600002676,0.0
iv100hz_mat,knn__k3,trss,0.2,1,73.71236849146814,228.29831838406824,7.360726899516082,1468.9973904533817,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03417436900008397,0.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,1,290.8965783702726,378.9274453612543,4.165314861025784,2770.1764856757854,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.015887458999714,0.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,1,326.2969211487117,419.0690183515255,3.193314917035085,3198.368914189692,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.265817463000076,0.0
iv100hz_mat,knn__k3,mean,0.2,2,71.18746589056104,220.9658422327806,8.024783356731755,1375.1910358293983,{},,5,0.0035988849999739614,0.0
iv100hz_mat,knn__k3,nearest,0.2,2,102.19298244039086,312.2384374235395,4.794642137329551,1728.5863934618258,{},,5,0.007677732000047399,0.0
iv100hz_mat,knn__k3,tikhonov,0.2,2,166.92444290734966,273.75927139826877,6.517982851615018,1720.4317441333767,"{""alpha"": 0.1}",,5,0.012370626000119955,0.0
iv100hz_mat,knn__k3,tv,0.2,2,81.16048595064836,246.58348693178846,6.788442883050403,1424.6109492548876,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.2804910979998567,0.0
iv100hz_mat,knn__k3,trss,0.2,2,75.40139825598293,228.55548744250308,7.303333472694818,1382.9147166453179,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.0356643919999442,0.0
