"graph","method","combo","mean_mae","median_mae","std_mae","min_mae","max_mae","cv_mae","count","datasets_count","real_datasets_count","real_obs_count","rank_metric_mean","rank_metric_median","rank_metric_stability","rank_metric_cv"
"gaussian__sigma1","linear","gaussian__sigma1|linear","0,163364850427048","0,169744893997533","0,120618740316515","2,12840909090909E-06","0,329876799854523","0,738339612231199","18","4","1","4","0,223674220585306","0,169744893997533","0,283983590743563","0,738339612231199"
"aew__k4_sigma_corr0_5_sigma_dist1","linear","aew__k4_sigma_corr0_5_sigma_dist1|linear","0,163364850427048","0,169744893997533","0,120618740316515","2,12840909090909E-06","0,329876799854523","0,738339612231199","18","4","1","4","0,223674220585306","0,169744893997533","0,283983590743563","0,738339612231199"
"nnk__k4","linear","nnk__k4|linear","0,163364850427048","0,169744893997533","0,120618740316515","2,12840909090909E-06","0,329876799854523","0,738339612231199","18","4","1","4","0,223674220585306","0,169744893997533","0,283983590743563","0,738339612231199"
"kalofolias","linear","kalofolias|linear","0,163364850427048","0,169744893997533","0,120618740316515","2,12840909090909E-06","0,329876799854523","0,738339612231199","18","4","1","4","0,223674220585306","0,169744893997533","0,283983590743563","0,738339612231199"
"knng__k4_sigma1","linear","knng__k4_sigma1|linear","0,163364850427048","0,169744893997533","0,120618740316515","2,12840909090909E-06","0,329876799854523","0,738339612231199","18","4","1","4","0,223674220585306","0,169744893997533","0,283983590743563","0,738339612231199"
"knn__k3","linear","knn__k3|linear","0,163364850427048","0,169744893997533","0,120618740316515","2,12840909090909E-06","0,329876799854523","0,738339612231199","18","4","1","4","0,223674220585306","0,169744893997533","0,283983590743563","0,738339612231199"
"kalofolias","trss","kalofolias|trss","0,164402186501994","0,168683816113733","0,122668669299389","2,37957153649851E-06","0,365489927249617","0,746149865214241","18","4","1","4","0,225736521151689","0,168683816113733","0,287070855801383","0,746149865214241"
"nnk__k4","tikhonov","nnk__k4|tikhonov","0,173183080310569","0,180320185865971","0,117731294977004","3,45189795386563E-06","0,321447550865277","0,679808297472691","18","4","1","4","0,232048727799071","0,180320185865971","0,290914375287573","0,679808297472691"
"aew__k4_sigma_corr0_5_sigma_dist1","puy","aew__k4_sigma_corr0_5_sigma_dist1|puy","0,170602099282217","0,170884517904717","0,122962894827964","1,00997445110321E-05","0,360421632757041","0,720758392454204","18","4","1","4","0,232083546696199","0,170884517904717","0,293564994110181","0,720758392454204"
"knng__k4_sigma1","nearest","knng__k4_sigma1|nearest","0,176639860291209","0,176866753520729","0,129888000966192","3,19772727272727E-06","0,359243017689141","0,735326674013773","18","4","1","4","0,241583860774305","0,176866753520729","0,306527861257401","0,735326674013773"
"knn__k5","nearest","knn__k5|nearest","0,176639860291209","0,176866753520729","0,129888000966192","3,19772727272727E-06","0,359243017689141","0,735326674013773","18","4","1","4","0,241583860774305","0,176866753520729","0,306527861257401","0,735326674013773"
"kalofolias","nearest","kalofolias|nearest","0,176639860291209","0,176866753520729","0,129888000966192","3,19772727272727E-06","0,359243017689141","0,735326674013773","18","4","1","4","0,241583860774305","0,176866753520729","0,306527861257401","0,735326674013773"
"gaussian__sigma1","nearest","gaussian__sigma1|nearest","0,176639860291209","0,176866753520729","0,129888000966192","3,19772727272727E-06","0,359243017689141","0,735326674013773","18","4","1","4","0,241583860774305","0,176866753520729","0,306527861257401","0,735326674013773"
"aew__k4_sigma_corr0_5_sigma_dist1","nearest","aew__k4_sigma_corr0_5_sigma_dist1|nearest","0,176639860291209","0,176866753520729","0,129888000966192","3,19772727272727E-06","0,359243017689141","0,735326674013773","18","4","1","4","0,241583860774305","0,176866753520729","0,306527861257401","0,735326674013773"
"nnk__k4","nearest","nnk__k4|nearest","0,176639860291209","0,176866753520729","0,129888000966192","3,19772727272727E-06","0,359243017689141","0,735326674013773","18","4","1","4","0,241583860774305","0,176866753520729","0,306527861257401","0,735326674013773"
"vknng__alpha1_k4_k_max8_k_min2","nearest","vknng__alpha1_k4_k_max8_k_min2|nearest","0,176639860291209","0,176866753520729","0,129888000966192","3,19772727272727E-06","0,359243017689141","0,735326674013773","18","4","1","4","0,241583860774305","0,176866753520729","0,306527861257401","0,735326674013773"
"knn__k3","nearest","knn__k3|nearest","0,176639860291209","0,176866753520729","0,129888000966192","3,19772727272727E-06","0,359243017689141","0,735326674013773","18","4","1","4","0,241583860774305","0,176866753520729","0,306527861257401","0,735326674013773"
"kalofolias","gsp","kalofolias|gsp","0,177932582824588","0,183752970661687","0,138122817074305","2,38072023350836E-06","0,423934528728168","0,776264891351974","18","4","1","4","0,246993991361741","0,183752970661687","0,316055399898894","0,776264891351974"
"nnk__k4","rbfi_tps","nnk__k4|rbfi_tps","0,180890145249449","0,183393548660453","0,135855333182157","1,88642034112994E-06","0,381854290966701","0,751037780387713","18","4","1","4","0,248817811840528","0,183393548660453","0,316745478431607","0,751037780387713"
