carpeta,archivo,tipo,tam_kb
results,itX0134_raw.csv,csv,1878.1
results,itX0134_significance.csv,csv,0.1
results,itX0134_stats.csv,csv,0.4
results,itX0135_raw.csv,csv,3778.9
results,itX0135_significance.csv,csv,0.1
results,itX0135_stats.csv,csv,0.8
results,itX0136_raw.csv,csv,1878.1
results,itX0136_significance.csv,csv,0.1
results,itX0136_stats.csv,csv,0.4
results,itX0137_raw.csv,csv,15088.5
results,itX0137_significance.csv,csv,0.1
results,itX0137_stats.csv,csv,0.8
results,itX0138_raw.csv,csv,7483.2
results,itX0138_significance.csv,csv,0.1
results,itX0138_stats.csv,csv,0.4
