dataset,graph,method,mae_mean,mae_std,snr_mean,snr_std
bci_iv2a_real_s3,vknng,visibility_nnk,0.19269984355329797,0.08836530470578775,6.857331504036129,2.448176416206872
iris_graph_signal,aew,bgsrp,0.29320508361035597,0.03466766528959881,8.272641807444295,0.5248520382680808
iris_graph_signal,aew,ica,0.2083156856565979,0.07826880520281834,7.389982828057354,2.044687162611833
iris_graph_signal,aew,idw,0.18858176066312946,0.06744051110901442,8.86881906489928,1.81746922876111
iris_graph_signal,aew,linear,0.22741211369605135,0.10225428964621155,7.060247481032437,3.2646336468895463
iris_graph_signal,aew,rbfi_tps,3.2451634357984847,3.709390900658726,-7.5848799748893105,14.789852180088157
iris_graph_signal,aew,sobolev,0.5429588789348451,0.04062384154337262,3.389816972663125,0.6458869151103703
iris_graph_signal,aew,spherical_spline,0.1892763462254073,0.06510772624683814,8.703384694622777,1.6813371024916504
iris_graph_signal,aew,temporal_laplacian,0.3695905689405541,0.03764496008477068,7.011369769096115,1.1667938625942464
iris_graph_signal,aew,tikhonov,0.14605214437702566,0.055997422643160995,11.842902548709594,2.0723735614281944
iris_graph_signal,aew,trss,0.2426367944453887,0.08097950637979079,5.7132188884238655,1.4139259654334475
iris_graph_signal,aew,tv,0.14605112915655596,0.05599591266670548,11.842622316765807,2.072069928956823
iris_graph_signal,aew,visibility_nnk,0.2410307873341906,0.08124805646867657,5.7483201092332,1.4234463775687851
iris_graph_signal,epsilon_ball,bgsrp,0.49995872519416007,0.020076812344590977,4.919615462871598,0.768953850210816
iris_graph_signal,epsilon_ball,ica,0.2083156856565979,0.07826880520281834,7.389982828057354,2.044687162611833
iris_graph_signal,epsilon_ball,idw,0.18858176066312946,0.06744051110901442,8.86881906489928,1.81746922876111
iris_graph_signal,epsilon_ball,linear,0.22741211369605135,0.10225428964621155,7.060247481032437,3.2646336468895463
iris_graph_signal,epsilon_ball,rbfi_tps,3.2451634357984847,3.709390900658726,-7.5848799748893105,14.789852180088157
iris_graph_signal,epsilon_ball,sobolev,0.5429598888410021,0.04062402823433826,3.389786246802518,0.6458883232286744
iris_graph_signal,epsilon_ball,spherical_spline,0.1892763462254073,0.06510772624683814,8.703384694622777,1.6813371024916504
iris_graph_signal,epsilon_ball,temporal_laplacian,0.36959105227260447,0.03764564660395815,7.011337379793969,1.166821912675484
iris_graph_signal,epsilon_ball,tikhonov,0.1892763462254073,0.06510772624683814,8.703384694622777,1.6813371024916504
iris_graph_signal,epsilon_ball,trss,0.24264525639606585,0.08098086241772248,5.712921913804552,1.4138809337026108
iris_graph_signal,epsilon_ball,tv,0.1892763462254073,0.06510772624683814,8.703384694622777,1.6813371024916504
iris_graph_signal,epsilon_ball,visibility_nnk,0.2410307873341906,0.08124805646867657,5.7483201092332,1.4234463775687851
iris_graph_signal,knn__k9,bgsrp,0.4965616128298809,0.00881995984817846,4.555952682857874,0.30436861971845014
iris_graph_signal,knn__k9,ica,0.22405817173782483,0.08272172610371409,6.9780090109143496,2.1616094028640997
iris_graph_signal,knn__k9,idw,0.20219523820604224,0.07126592935684407,8.504720092216845,1.9201961776125758
iris_graph_signal,knn__k9,linear,0.24804474211043945,0.10811093138499582,6.407323160420282,3.453733276715219
iris_graph_signal,knn__k9,rbfi_tps,3.994478277498914,3.9227211733431413,-10.578350148805024,15.634341506959222
iris_graph_signal,knn__k9,sobolev,0.6785157915559789,0.015010467630943389,1.984573891552209,0.22069412723268447
iris_graph_signal,knn__k9,spherical_spline,0.20239386628899592,0.06882185168723011,8.364859270425717,1.7764663851213307
iris_graph_signal,knn__k9,temporal_laplacian,0.685242453583284,0.023269346167406828,1.727299546007386,0.3002614820125689
iris_graph_signal,knn__k9,tikhonov,0.3169345630546278,0.049371363174018065,7.5954438917846545,1.4107433778417795
