Dataset,Familia,Combinacion,n_rows,MAE,RMSE,DTW,SNR,LSD,COHERENCE_MEAN
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k9 | linear,60,0.07438530404600155,0.20494544842379964,1.4357256955209856,15.960255810126553,2.2329168580850913,0.9670385694517658
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k9 | rbfi_tps,60,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k9 | spherical_spline,60,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knng | ica,240,0.19005979452320712,0.4714397813328147,2.72503489993399,7.011950322581711,2.412473499154225,0.8754198430886295
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knng | linear,240,0.07438530404600155,0.20494544842379964,1.4357256955209856,15.960255810126553,2.2329168580850913,0.9670385694517658
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knng | rbfi_tps,240,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knng | spherical_spline,240,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | nnk | ica,120,0.19005979452320712,0.4714397813328147,2.72503489993399,7.011950322581711,2.412473499154225,0.8754198430886295
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | nnk | linear,120,0.07438530404600155,0.20494544842379964,1.4357256955209856,15.960255810126553,2.2329168580850913,0.9670385694517658
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | nnk | rbfi_tps,120,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | nnk | spherical_spline,120,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | vknng | ica,180,0.19005979452320712,0.4714397813328148,2.72503489993399,7.011950322581711,2.412473499154225,0.8754198430886295
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | vknng | linear,180,0.07438530404600155,0.2049454484237996,1.4357256955209856,15.960255810126553,2.232916858085091,0.9670385694517658
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | vknng | rbfi_tps,180,0.09431890887027641,0.24799478697586835,1.7353478362789536,13.580809671120166,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | vknng | spherical_spline,180,0.09431890887027641,0.24799478697586835,1.7353478362789536,13.580809671120166,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | bgsrp,120,0.1763166457066097,0.6588840853269908,3.1370218322437364,11.484282557720132,2.321632156725267,0.8660445233689982
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | idw,120,0.09431890887027641,0.24799478697586835,1.7353478362789536,13.580809671120168,2.261804549207683,0.9502819285060002
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | sobolev,120,0.49578356135455437,0.6531703617739506,4.656326097123476,3.7536361722877847,2.419278789411171,0.873290929241419
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | aew | tikhonov,120,4.982496135608553e+61,8.735923147163279e+62,1.863077077986909e+63,-83.22784349499946,13.518740036051396,0.8936473147552187
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | epsilon_ball | bgsrp,120,0.09482077878892076,0.24819261235907925,1.726952191641864,13.55113247739846,2.2595936490844863,0.9508781146037418
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | epsilon_ball | idw,120,0.09431890887027641,0.24799478697586835,1.7353478362789536,13.580809671120168,2.261804549207683,0.9502819285060002
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | epsilon_ball | sobolev,120,0.5602238164421236,0.7015182314193901,5.421987799051251,3.151164466679684,2.267064614678312,0.7742147190674822
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | epsilon_ball | tikhonov,120,0.2925279924052259,0.39577104020055576,2.9622419245036933,9.109557917191694,2.1821494900874217,0.849966493484077
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | kalofolias | bgsrp,120,0.09577394375311093,0.2504928342842046,1.744876716591737,13.447740109658646,2.259587863342221,0.9499144704266483
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | kalofolias | idw,120,0.09431890887027641,0.24799478697586835,1.7353478362789536,13.580809671120168,2.261804549207683,0.9502819285060002
bci_iv2a_real_s3,GSP Instantáneo,bci_iv2a_real_s3 | kalofolias | sobolev,120,0.5604967761742607,0.7018742106873248,5.42281295363336,3.1470879885046017,2.2695181574448053,0.7731902922618367
