dataset,scenario,missing_ratio,method,family,runs,mae_mean,mae_std,rmse_mean,rmse_std,dtw_mean,dtw_std,snr_mean,snr_std,mae_ci95,rmse_ci95,dtw_ci95,snr_ci95
synthetic,frontal_band,0.1,graph_time_tikhonov,tv_time,92,0.3774067118709023,0.12463246786565142,0.45946068560297826,0.12693082773994765,3.3121454394863927,1.0004169656623252,5.03688121833038,3.862789329217328,0.025467912689303637,0.025937569028535185,0.20442933025967971,0.7893383085355187
synthetic,left_lateral_temporal,0.1,graph_time_tikhonov,tv_time,92,0.37931367129546273,0.12210967906251313,0.467113562624572,0.12185532240196911,3.1927178124736173,0.9578824217343118,5.0524499150748445,3.8285851120846592,0.02495239561680903,0.024900419327374877,0.1957376460654318,0.7823488776876932
synthetic,midline_central,0.2,tikhonov,instant,69,0.3798283588221918,0.13029099511579223,0.4767058225891934,0.11805131830958278,3.2391183259492515,1.1038498982920946,5.611381575927337,4.95184879227574,0.030742977488960536,0.027854948978693662,0.2604603069016854,1.1684197807713077
synthetic,occipital_band,0.1,graph_time_tikhonov,tv_time,92,0.37985418146330907,0.12239649864672687,0.46801055686298454,0.11728396302016925,3.309780857562905,1.007500832042785,5.032888190398464,3.8488823687030567,0.025011005514000605,0.023966288890893372,0.20587687674230828,0.7864965028470294
synthetic,midline_central,0.1,graph_time_tikhonov,tv_time,92,0.380303371496089,0.11918644533227638,0.47945270200033624,0.10936516954738822,3.0844226465679885,0.9429275034023115,5.138062058881048,3.8491201045573384,0.02435504997576508,0.022348129961497765,0.1926816963528287,0.7865450827723383
synthetic,right_lateral_temporal,0.2,graph_time_tikhonov,tv_time,92,0.3951707613090076,0.11537996898225729,0.4816547034715113,0.1120411013114724,3.479987705023431,0.9966545918403462,4.595382556552741,3.5220044785159095,0.023577218893733664,0.0228949408984656,0.20366051127018514,0.7197009261412552
synthetic,midline_central,0.2,graph_time_tikhonov,tv_time,92,0.3978336489982322,0.1109174101705267,0.4892809350827046,0.10416958140330164,3.425242318775978,0.9265083857525717,4.579695171643101,3.4313008796533966,0.022665321214626888,0.021286442044302592,0.18932654611068042,0.7011661785269642
synthetic,frontal_band,0.2,graph_time_tikhonov,tv_time,92,0.3988947820141701,0.10680558422325048,0.5054350105213229,0.08966795542578494,3.1633880577808524,0.9287544919225235,4.684870433612833,3.4667513452855943,0.02182509373608793,0.018323119961597377,0.18978552471237914,0.7084102729349254
synthetic,occipital_band,0.2,graph_time_tikhonov,tv_time,92,0.39915713649500634,0.10606703307521884,0.5008421066349709,0.09403343124547692,3.24959953352023,0.8091636601579716,4.591634743222251,3.4163337677474113,0.021674175147402594,0.019215179301568307,0.1653478407446351,0.6981077371291451
synthetic,left_lateral_temporal,0.2,graph_time_tikhonov,tv_time,92,0.40227923055159087,0.10328080149643921,0.5092115873829787,0.08763602068323072,3.151800862913288,0.8629697077186789,4.595295498547631,3.365839192585841,0.02110482509122757,0.017907906032996388,0.1763427904948861,0.6877894673113268
synthetic,occipital_band,0.3,tikhonov,instant,75,0.4026809044880787,0.10334225465744318,0.5240939210845869,0.08138735405359977,2.9471939080924625,0.9348020008581179,5.01560666138475,4.0292041035554815,0.023388553989693965,0.018419692222419064,0.21156560923909856,0.911894732932619
synthetic,left_lateral_temporal,0.3,tikhonov,instant,75,0.40379256912752254,0.10228912105414667,0.5244398322816006,0.08063080679356903,3.007964498298879,0.9079454173899149,5.0505699746427215,4.017951010056377,0.023150207417706462,0.01824846945883956,0.20548739220670534,0.9093479181207369
synthetic,right_lateral_temporal,0.3,tikhonov,instant,75,0.40639660269241545,0.10841040228451475,0.5190464098727584,0.08758802390606216,3.2097633303551247,1.0213528654827981,4.808468072077542,4.055488280473862,0.024535583777232722,0.019823035918541326,0.23115391391504292,0.917843402167367
synthetic,right_lateral_temporal,0.3,rbfi_mq,instant,23,0.4067517496952991,0.0,0.8973568896246163,0.0,2.7407991448673426,0.0,-6.750816211074231,0.0,0.0,0.0,0.0,0.0
synthetic,midline_central,0.3,tikhonov,instant,69,0.4139303337050807,0.10124855929203302,0.5332566446863829,0.0786371246193714,3.1167757591925214,0.8324667723390836,4.816455958504699,4.0719400379590205,0.0238902326007899,0.018554922769769343,0.1964257562050509,0.9607997913602403
synthetic,frontal_band,0.3,tikhonov,instant,75,0.41758725528829377,0.09961040075470791,0.5463465414697264,0.07081118977139408,3.0446669060543887,1.1278911709655728,4.7831830487854035,3.9378427448345485,0.02254395594240831,0.016026080914651603,0.25526580230004164,0.8912177109526034
synthetic,right_lateral_temporal,0.4,tikhonov,instant,75,0.4209435444543413,0.09568631627053888,0.5428190213599188,0.07099798241438819,3.1245860485355017,1.0269008582620462,4.500809181960892,3.5987215848058,0.02165585201897124,0.016068356069475997,0.2324095428838708,0.8144673672846489
synthetic,occipital_band,0.4,tikhonov,instant,75,0.4224619881762009,0.09627548678468689,0.5384109795007181,0.07696579250662035,3.251285415014748,0.9317254181202866,4.380224319313039,3.545161689001605,0.02178919385890848,0.017418998640659333,0.21086931301732512,0.8023456217426033
synthetic,midline_central,0.3,rbfi_mq,instant,23,0.4252021655153618,0.0,0.9229706783179366,0.0,2.4678679249103554,0.0,-7.108270614012352,0.0,0.0,0.0,0.0,0.0
synthetic,occipital_band,0.3,graph_time_tikhonov,tv_time,92,0.42708300285919676,0.08505263181604752,0.5418272002698479,0.0652749480605446,3.221716912132074,0.7441292959908116,3.9605697346180806,2.8194489638039832,0.01738000569339256,0.013338552196501438,0.15205845045350308,0.576137833678386
synthetic,left_lateral_temporal,0.3,graph_time_tikhonov,tv_time,92,0.42792420131527387,0.08419498060672426,0.5419553850951137,0.06484353152593544,3.275781613712923,0.7210134882429274,4.001071689605448,2.804906992809383,0.017204749706802726,0.013250394761891448,0.14733487092765715,0.5731662673284353
synthetic,midline_central,0.3,graph_time_tikhonov,tv_time,92,0.428196213963494,0.08571419546800135,0.5405646477841536,0.06954642223289637,3.273096613241707,0.6917878454972466,3.954965210161306,2.7955951875095115,0.0175151923394962,0.014211402852025138,0.14136278251055126,0.5712634546150375
synthetic,left_lateral_temporal,0.4,tikhonov,instant,75,0.4298428138122415,0.08440311244128411,0.5717557608066971,0.059195072342364374,2.789475198577074,0.7364351906599699,4.750080437998682,3.5719745930186777,0.019102222597859708,0.013397106053012867,0.16667097378275278,0.8084139531845922
synthetic,right_lateral_temporal,0.3,graph_time_tikhonov,tv_time,92,0.4302756479506328,0.09202741352919047,0.5370529694887153,0.07381576296913962,3.471695537190663,0.8673655521720602,3.82965896588837,2.899951120509152,0.018805261365042722,0.015083817552412344,0.1772410554867593,0.5925879765133808
synthetic,occipital_band,0.3,rbfi_tps,instant,23,0.43033135253097404,0.0,0.936474611808876,0.0,2.466098245106283,0.0,-7.192989031754213,0.0,0.0,0.0,0.0,0.0
synthetic,frontal_band,0.4,tikhonov,instant,75,0.4311559634261178,0.08869229127183016,0.5546596177254561,0.06692189645651435,3.124569128235618,0.9603692682324062,4.314136052900239,3.425306091943644,0.020072955150407648,0.015145850974068736,0.21735202656988603,0.775219746542287
synthetic,midline_central,0.4,tikhonov,instant,69,0.4313583339842638,0.08928426188664985,0.5484650163745558,0.06680148340059432,3.3050781034434067,0.7822661175402273,4.310755057173694,3.581779656820899,0.02106718158734084,0.015762228990487778,0.1845805968443388,0.8451433751212096
synthetic,left_lateral_temporal,0.4,rbfi_tps,instant,23,0.4374433160830178,0.0,0.8362018157745288,0.0,1.9807309429441846,0.0,-5.014422224544218,0.0,0.0,0.0,0.0,0.0
synthetic,frontal_band,0.3,graph_time_tikhonov,tv_time,92,0.441190658206868,0.08187419520687607,0.5617708485129422,0.05583123061319858,3.329877688855755,0.9358102397883833,3.7432357079021408,2.732718009550048,0.016730510843157197,0.011408784010648586,0.19122732534172368,0.5584148726536531
synthetic,midline_central,0.4,graph_time_tikhonov,tv_time,92,0.44360953484588767,0.0760825568076678,0.5541424986339542,0.05945764470040212,3.4462950600939926,0.6622144326305021,3.5620469170431677,2.4729510785677524,0.015547023557660657,0.012149820426999724,0.1353196293120856,0.5053330262365787
synthetic,right_lateral_temporal,0.4,graph_time_tikhonov,tv_time,92,0.4443696592120319,0.0777278449838044,0.5585942449027946,0.056254690386095076,3.4085302394496733,0.8408613549923513,3.5186006756685653,2.5046163108918207,0.015883228531662772,0.011495315527742396,0.1718250784846787,0.5118036304533322
synthetic,occipital_band,0.4,graph_time_tikhonov,tv_time,92,0.44567412205068857,0.0789157632729558,0.5554375513053751,0.06091915215937732,3.526479063398707,0.7258472973300426,3.4502452260420187,2.498025384894295,0.016125972655952656,0.012448470891019017,0.14832263141973145,0.5104568134423139
synthetic,left_lateral_temporal,0.4,graph_time_tikhonov,tv_time,92,0.4519468188180546,0.06587089869488708,0.5866840721608174,0.04037485409467816,3.0142941356980653,0.5750762816812898,3.7421038600660603,2.443750208676453,0.013460331207881765,0.00825036426330787,0.11751346003463752,0.49936600000674436
synthetic,frontal_band,0.3,rbfi_tps,instant,23,0.4535737435068244,0.0,0.9983041935076148,0.0,2.42994210883826,0.0,-7.674945158717059,0.0,0.0,0.0,0.0,0.0
synthetic,frontal_band,0.4,graph_time_tikhonov,tv_time,92,0.45376785705277417,0.07033710803079822,0.5705436685921473,0.048817785258236386,3.3920442092479197,0.7758209626015382,3.3867919141999825,2.3647811599556787,0.014372974850160838,0.009975627650911558,0.15853445636145433,0.4832291387825406
synthetic,left_lateral_temporal,0.4,rbfi_mq,instant,23,0.49400954927569307,0.0,0.9738771707522464,0.0,2.545021594656796,0.0,-5.915193650428462,0.0,0.0,0.0,0.0,0.0
synthetic,midline_central,0.1,bgsrp,instant,69,0.5030622002320558,0.030545617768238185,0.6191946794177295,0.022060136179630714,3.5666175983298616,0.34158759983073594,1.8201264423864587,0.6276408538984587,0.00720743009599992,0.0052052274938192465,0.08059973663392125,0.1480957960709713
synthetic,frontal_band,0.1,bgsrp,instant,69,0.504132061125592,0.03322740218962471,0.6064710782855672,0.027663285722601044,3.814197747722013,0.40252672928090133,1.6584266344404164,0.5867059230273175,0.007840213950506974,0.006527325771706584,0.09497870644083932,0.13843694238606982
synthetic,right_lateral_temporal,0.1,bgsrp,instant,69,0.5044049119892583,0.03307038440958474,0.6034178145049414,0.030809244198271815,3.882884630231938,0.37083644329308557,1.6129983652540592,0.5297544015220039,0.007803164620483474,0.007269634405644006,0.08750118469901594,0.12499887368420841
synthetic,occipital_band,0.1,bgsrp,instant,69,0.5045138055154664,0.033272860108609706,0.6114657510767441,0.024810459276934396,3.737757840644327,0.4324744960750229,1.6533998489791648,0.5631770827458186,0.00785094003160574,0.005854183478786828,0.10204506984974636,0.132885164947632
synthetic,left_lateral_temporal,0.1,bgsrp,instant,69,0.505582248599854,0.031511736667271154,0.611390142884503,0.026310822557718844,3.6591917118731008,0.3587887244113791,1.674685894986069,0.5638820764547919,0.007435391909770961,0.006208203605238594,0.08465844986500487,0.13305151263501871
synthetic,frontal_band,0.2,bgsrp,instant,69,0.5131202820056852,0.026887623574255448,0.6383661183978767,0.0327594262462261,3.5958789661773354,0.3650295099544354,1.6859274697814315,0.6095404878319438,0.006344303422814131,0.007729792091494444,0.08613100235639616,0.14382490117121036
