dataset,graph,graph_method,interp_label,method,family,missing_ratio,mae,rmse,dtw,snr
synthetic_alpha,knn__k5,knn,sobolev__alpha1_order2,sobolev,instant,0.2,0.5850233635957798,0.6583432694908532,5.426087498455004,0.6748795969826971
synthetic_alpha,knn__k5,knn,graph_time_tikhonov__alpha0_5_beta0_5,graph_time_tikhonov,tv_time,0.2,0.45091193015156766,0.5231914287188054,4.18569076000332,2.703875889638078
synthetic_alpha,knn__k5,knn,trss__alpha0_5_beta0_5_lr0_01_n_iter30,trss,tv_time,0.2,0.05361465155526254,0.16311256645157302,1.0533083164012578,13.296391917767595
synthetic_alpha,knn__k5,knn,tv__lam0_5_n_iter20,tv,tv_time,0.2,0.09313569271517672,0.27078910872118206,1.4018136593263835,8.646343138375848
synthetic_alpha,knn__k5,knn,temporal_laplacian__alpha0_5_beta0_5,temporal_laplacian,tv_time,0.2,0.5113544382761502,0.5755914078546038,4.765939445609455,1.8430231407145128
synthetic_alpha,knn__k5,knn,heat_diffusion_temporal__alpha0_5_beta0_5_n_iter10,heat_diffusion_temporal,tv_time,0.2,0.11352547858131254,0.32198893920895477,1.670018368400646,7.085084588415771
synthetic_alpha,knn__k5,knn,spline_temporal__alpha0_5,spline_temporal,tv_time,0.2,0.21761555475021094,0.32762767398918763,2.560920606641173,7.945627293749475
synthetic_alpha,knn__k5,knn,wavelet_temporal__alpha0_5_wavelet_level1,wavelet_temporal,tv_time,0.2,0.11967933294346646,0.27398757853327876,1.5349553157573315,8.439279028739072
synthetic_alpha,knn__k5,knn,directed_tv__alpha0_5_beta0_5_n_iter10,directed_tv,tv_time,0.2,0.11937345647975693,0.3519206897546451,1.7810236640042731,6.400972903502437
synthetic_alpha,knn__k5,knn,linear,linear,instant,0.3,0.191724629994285,0.45733665188041017,2.2786604790650005,4.0070138259355845
synthetic_alpha,knn__k5,knn,nearest,nearest,instant,0.3,0.21692163063008693,0.5219757198415358,2.6245234902634467,2.9149714041011543
synthetic_alpha,knn__k5,knn,mean,mean,instant,0.3,0.1523575051398916,0.35164273018243286,1.823039894641967,6.292610101907036
synthetic_alpha,knn__k5,knn,idw__power2,idw,instant,0.3,0.1595164332114219,0.37091818641705065,1.911265217888703,5.828707529695173
synthetic_alpha,knn__k5,knn,spherical_spline,spherical_spline,instant,0.3,0.28207502461384154,0.6970228409562619,4.025159871164359,0.33338364734686426
synthetic_alpha,knn__k5,knn,rbfi_tps,rbfi_tps,instant,0.3,0.22374075147912081,0.5323419605229697,2.9142533705804605,2.685752090913451
synthetic_alpha,knn__k5,knn,rbfi_mq,rbfi_mq,instant,0.3,0.23025458580158722,0.5529885152756064,2.9890532935006617,2.3306770761918845
synthetic_alpha,knn__k5,knn,spline_surface,spline_surface,instant,0.3,0.2301886590556136,0.5740470494767999,3.1380136709552895,2.143411830968
