dataset,scenario,missing_ratio,grupo,method,family,runs,mae_mean,mae_std,rmse_mean,rmse_std,dtw_mean,dtw_std,snr_mean,snr_std,mae_ci95,rmse_ci95,dtw_ci95,snr_ci95
mne_sample,left_lateral_temporal,0.1,GSP,gsmooth,instant,69,3.674606687621317e-06,1.4309739894366984e-07,1.825561382977312e-05,5.271265088199734e-07,3.160753737782428e-05,1.2736205297719628e-06,2.083662397781161,0.2712968853915927,3.3764728794529144e-08,1.2437880591889486e-07,3.005187522089282e-07,0.0640142016952629
mne_sample,left_lateral_temporal,0.1,TV/Tiempo,tv,tv_time,69,3.5431703129887383e-06,1.1671489669047756e-08,1.775540942780336e-05,4.480738478046683e-08,3.039352877086876e-05,8.049773139499387e-08,1.786885270412084,0.0641457245816089,2.753961191556509e-09,1.0572583473024066e-08,1.8993944608292664e-08,0.0151355860401011
mne_sample,left_lateral_temporal,0.2,Baseline,idw,instant,69,5.836042150983365e-06,3.11390759585684e-07,2.0591093630448284e-05,7.885677399946529e-07,4.5618582352282414e-05,2.21300439347792e-06,2.695922434873744,0.2548354261167636,7.347460278206655e-08,1.8606750418653973e-07,5.221722667111334e-07,0.0601300171323025
mne_sample,left_lateral_temporal,0.2,GSP,gsmooth,instant,69,5.395965068285575e-06,2.0215391849098748e-07,1.958024741484697e-05,5.088967812828405e-07,4.265177451370556e-05,1.3871609903466427e-06,2.2642649119701828,0.3071908151687861,4.7699484987050416e-08,1.2007738736878025e-07,3.2730933601275484e-07,0.072483599554646
mne_sample,left_lateral_temporal,0.2,TV/Tiempo,tv,tv_time,69,5.2328204561109314e-06,4.76445890012884e-08,1.9096876022977223e-05,9.643254431859253e-08,4.155886503136737e-05,3.004804012956468e-07,1.9279167167041031,0.0504297069053234,1.124203960400828e-08,2.2753863661529012e-08,7.09002353132402e-08,0.0118992056418588
mne_sample,left_lateral_temporal,0.3,Baseline,idw,instant,69,7.78921926105915e-06,3.430635187033868e-07,2.1815356546636085e-05,8.384798853806159e-07,5.934101299258774e-05,2.4806513812763758e-06,3.3316242113486627,0.2019809830444295,8.09479889489574e-08,1.9784458794173474e-07,5.853252521769624e-07,0.0476586797837756
mne_sample,left_lateral_temporal,0.3,GSP,gsmooth,instant,69,7.257758494427958e-06,1.9150577254053774e-07,2.06226670656902e-05,4.866073219610481e-07,5.573080158393237e-05,1.3731455629994772e-06,2.8619301082346538,0.3114651377963909,4.518698816435814e-08,1.1481804964124217e-07,3.2400230802475655e-07,0.0734921527873865
mne_sample,left_lateral_temporal,0.3,TV/Tiempo,tv,tv_time,69,7.094840292516714e-06,4.110163571817541e-08,2.0156726745064767e-05,8.381277195822164e-08,5.459658470957358e-05,2.1208416518618769e-07,2.526778471833629,0.0375727388184227,9.698188739140017e-09,1.9776149221280147e-08,5.004258897776789e-08,0.0088655233822322
mne_sample,left_lateral_temporal,0.4,Baseline,idw,instant,69,9.058232532792137e-06,8.478391528458873e-08,2.166152851385076e-05,1.1525711064704937e-07,6.747174856352904e-05,2.76023210122637e-07,4.508837135129953,0.3960324904455978,2.000529658019413e-08,2.7195638155314024e-08,6.512940765928891e-08,0.093446350055471
mne_sample,left_lateral_temporal,0.4,GSP,gsmooth,instant,69,8.919377320048904e-06,4.916276688693124e-08,2.151004783039834e-05,4.079720717779226e-08,6.755911416327614e-05,2.610544910476259e-07,3.6117143711182367,0.5719674118077659,1.1600263198210444e-08,9.62635691564616e-09,6.15974445090139e-08,0.1349592982231652
mne_sample,left_lateral_temporal,0.4,TV/Tiempo,tv,tv_time,69,8.88262907885461e-06,1.4412293045665944e-08,2.154548230533293e-05,1.1181569667826242e-08,6.786286630463996e-05,2.4791788074922807e-08,2.9709544000774835,0.0710983400911201,3.4006709387202023e-09,2.638361494466477e-09,5.849777891565516e-09,0.0167760992767092
mne_sample,midline_central,0.1,Baseline,idw,instant,69,2.975641202780219e-06,5.9422937793553264e-08,1.14076195800994e-05,3.634853131931809e-07,2.278586246891859e-05,3.644181446949223e-07,5.096569807984367,0.5393465643581381,1.4021214875913428e-08,8.576663944530178e-08,8.598674688890175e-08,0.127262204667901
mne_sample,midline_central,0.1,GSP,gsmooth,instant,69,2.9354722687398463e-06,1.580446789704839e-07,1.1285387323308324e-05,8.172980840335183e-07,2.2326405160068103e-05,1.5006777384979963e-06,4.194654779218074,0.8397560475961133,3.7291633266915334e-08,1.9284660906061002e-07,3.5409432472157215e-07,0.1981457064206321
mne_sample,midline_central,0.1,TV/Tiempo,tv,tv_time,69,2.8420929489216825e-06,1.8021834188774386e-08,1.0648999344149574e-05,6.635914132628907e-08,2.1399892406443454e-05,2.300730501270039e-07,3.262971373252495,0.1327815765933069,4.252364810652336e-09,1.5657855603664682e-08,5.4287179206705244e-08,0.0313306458096269
mne_sample,midline_central,0.2,Baseline,idw,instant,69,4.532188402862079e-06,8.631372382968268e-08,1.34435595778332e-05,3.752588925450523e-07,3.4884031620026584e-05,5.535298563087874e-07,5.985644426745108,0.4453541300059562,2.036626450144184e-08,8.854468933783194e-08,1.3060884136194616e-07,0.1050841002574337
mne_sample,midline_central,0.2,GSP,gsmooth,instant,69,4.451971416757908e-06,2.0353596790550659e-07,1.3112021917358976e-05,8.007319945316632e-07,3.3840142952068634e-05,1.8678211107965825e-06,5.023811433757409,0.656141780407029,4.802558821468661e-08,1.8893773633933693e-07,4.40724106156317e-07,0.1548207684398506
mne_sample,midline_central,0.2,TV/Tiempo,tv,tv_time,69,4.254521138455987e-06,2.4777952723166422e-08,1.2343048712722683e-05,8.026553975120485e-08,3.204834652694639e-05,2.947746646266893e-07,4.336840340332555,0.1142407103241817,5.846513353542605e-09,1.8939157533623483e-08,6.95539309595448e-08,0.0269558121242216
mne_sample,midline_central,0.3,Baseline,idw,instant,69,6.26999356562281e-06,1.6523131233544704e-07,1.4859286031170592e-05,4.3169079658055093e-07,4.6644591389875394e-05,9.650653867782184e-07,7.847033419690878,0.8003668714068197,3.8987364484288593e-08,1.0186015103862477e-07,2.277132309468535e-07,0.1888515832479603
mne_sample,midline_central,0.3,GSP,gsmooth,instant,69,6.060855235875173e-06,2.0929626809471217e-07,1.4404745288870566e-05,7.312960818863865e-07,4.504609411161946e-05,1.63853604928194e-06,6.117162333090332,0.8974616002378085,4.938476717320957e-08,1.725538972452994e-07,3.86622857805001e-07,0.2117616934984423
mne_sample,midline_central,0.3,TV/Tiempo,tv,tv_time,69,5.8677789104561695e-06,1.838686700922945e-08,1.3726832082081024e-05,5.570458044431459e-08,4.3559829846624144e-05,1.8633673863782445e-07,5.165877851368387,0.1346346229629237,4.3384965941421195e-09,1.3143845137644388e-08,4.3967322194583634e-08,0.031767883722934
mne_sample,midline_central,0.4,Baseline,idw,instant,69,9.71977297840712e-06,1.6509757445973592e-07,2.2291863263714484e-05,4.060192708966209e-07,7.449668024392582e-05,1.1897110139986462e-06,7.161145464185193,0.6818529323656725,3.8955808193704166e-08,9.580279354045738e-08,2.8071977567769456e-07,0.1608874760060745
