dataset,graph,method,mae,rmse,snr
synthetic,gaussian,puy,0.5512384530828472,0.6463893253338032,0.9130938894254811
synthetic,gaussian,sobolev,0.5916679564622391,0.6687532931642671,0.5714936528150649
synthetic,nnk,linear,0.1314644728868709,0.3780150923019295,5.756185721096738
synthetic,nnk,idw,0.11729089075058698,0.330962558600471,6.847280044166656
synthetic,nnk,rbfi_tps,0.1514783592473122,0.43645889520406395,4.530974977033934
synthetic,nnk,rbfi_mq,0.18880171098178,0.5486173878615199,2.5870584641658176
synthetic,nnk,spline_surface,0.177056477437106,0.5323940190181434,2.8822345820056294
synthetic,nnk,spherical_spline,0.10525561374556656,0.2909932952647151,7.968421594899013
synthetic,nnk,gsp,0.1297795683763561,0.37229598288224564,5.864126593274108
synthetic,nnk,tikhonov,0.33733653947779063,0.4477348056007686,4.1588276019675225
synthetic,nnk,bgsrp,0.527733885518642,0.6431231160686847,0.9841376007027982
synthetic,nnk,gsmooth,0.11307286922590261,0.316878073826175,7.238640531008435
synthetic,nnk,graph_time_tikhonov,0.3376205085046017,0.4357710372406148,4.396217664765245
synthetic,nnk,trss,0.10516137885518881,0.3027643053219133,7.689306664305007
synthetic,nnk,tv,0.11783004840976637,0.3325673856817694,6.813947381149438
synthetic,nnk,puy,0.31219445336175944,0.4637361930407838,3.9208888016290326
synthetic,nnk,sobolev,0.5025841791976146,0.5713968092347663,1.9428187281581528
synthetic,aew,linear,0.1314644728868709,0.3780150923019295,5.756185721096738
synthetic,aew,idw,0.11729089075058698,0.330962558600471,6.847280044166656
synthetic,aew,rbfi_tps,0.1514783592473122,0.43645889520406395,4.530974977033934
synthetic,aew,rbfi_mq,0.18880171098178,0.5486173878615199,2.5870584641658176
synthetic,aew,spline_surface,0.177056477437106,0.5323940190181434,2.8822345820056294
synthetic,aew,spherical_spline,0.10525561374556656,0.2909932952647151,7.968421594899013
synthetic,aew,gsp,0.10875785828981531,0.3109353791631601,7.662388722104382
synthetic,aew,tikhonov,0.3133549547346094,0.40697234087870154,4.996164001270535
synthetic,aew,bgsrp,0.5198544930345528,0.6340172424897929,1.125250690756415
synthetic,aew,gsmooth,0.10581945559414399,0.2949136808759053,7.952314171643212
synthetic,aew,graph_time_tikhonov,0.3147540923263461,0.39808693845103765,5.180057566055268
synthetic,aew,trss,0.08628159450287227,0.24725194202888806,9.660141963514594
synthetic,aew,tv,0.10757413873361045,0.3022687394329026,7.750399769837699
synthetic,aew,puy,0.24185483728475174,0.36812270084195686,6.013380106042172
synthetic,aew,sobolev,0.49222869281226905,0.5579583454437099,2.1444917682364077
synthetic,kalofolias,linear,0.1314644728868709,0.3780150923019295,5.756185721096738
synthetic,kalofolias,idw,0.11729089075058698,0.330962558600471,6.847280044166656
