method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
wavelet_temporal,0.1,dtw,,,,,,0
wavelet_temporal,0.2,mae,0.1514,0.0068,0.1485,0.1347,0.1682,3
wavelet_temporal,0.2,rmse,0.3306,0.0098,0.3333,0.3062,0.3549,3
wavelet_temporal,0.2,snr,15.9092,1.9507,16.2191,11.0635,20.7549,3
wavelet_temporal,0.2,dtw,,,,,,0
wavelet_temporal,0.3,mae,0.2162,0.0082,0.2168,0.1959,0.2365,3
wavelet_temporal,0.3,rmse,0.4032,0.0066,0.4044,0.3868,0.4197,3
wavelet_temporal,0.3,snr,14.0834,3.9398,12.1945,4.2965,23.8703,3
wavelet_temporal,0.3,dtw,,,,,,0
wavelet_temporal,0.4,mae,0.2742,0.0168,0.276,0.2324,0.316,3
wavelet_temporal,0.4,rmse,0.4566,0.015,0.4606,0.4194,0.4938,3
wavelet_temporal,0.4,snr,13.2433,1.7581,12.2915,8.8759,17.6108,3
wavelet_temporal,0.4,dtw,,,,,,0
